,Layer,Dysuria nodes,Dermatographic_urticaria nodes,sAB
0,coex_KDN,45,42,-0.03243021346469632
1,coex_BST,40,27,-0.027204256495301227
2,coex_OVR,39,30,0.13461538461538458
3,coex_LNG,41,34,0.03937350549976104
4,coex_ITI,42,40,0.133231707317073
5,coex_VGN,39,33,0.217074592074592
6,coex_HRV,19,20,0.1878205128205126
7,coex_MSG,41,34,-0.008244858919177478
8,coex_ADV,34,26,0.4627086909034168
9,coex_EMS,37,27,0.06545608108108114
10,coex_SMU,36,27,0.26256613756613745
11,coex_ARG,39,26,0.37948717948717947
12,coex_TST,42,31,0.217442080676725
13,coex_PIT,43,28,0.1933431770641072
14,coex_LVR,38,33,0.305827067669173
15,coex_THY,36,36,0.24722222222222223
16,coex_PNC,37,26,0.04426954426954399
17,coex_ATC,43,36,0.17959065188237977
18,coex_BRO,43,31,0.14197806208308794
19,coex_SKN,38,30,0.14195046439628478
20,coex_ADS,30,28,0.41054635020152297
21,coex_GEJ,37,31,0.2900148725575673
22,coex_BRB,28,21,0.6618357487922708
23,coex_UTR,35,21,0.06904761904761925
24,coex_STM,40,37,0.20315022815022798
25,coex_HRA,37,28,0.39714137214137213
26,coex_PRS,43,36,0.08787801345940882
27,coex_ATA,41,32,0.3870495096301547
28,coex_FIB,36,22,0.009491466388018122
29,coex_BRC,37,25,0.21452484742807298
30,coex_ATT,41,31,0.1289885479499957
31,coex_TNV,17,18,0.4345471521942108
32,coex_SPL,40,35,0.16257949125596194
33,coex_LCL,31,26,0.0007603686635944129
34,coex_CLS,40,33,0.13024475524475543
35,coex_EMC,38,35,0.27204140488206807
36,coex_CLT,39,41,0.17948717948717974
37,coex_core,45,40,0.1265394912985276
38,coex_WBL,41,35,0.2672290482303319
39,co-essential,14,7,0.75
40,GOBP,24,15,0.9658330175571552
41,ppi,48,48,0.34375
42,reactome_copathway,5,13,1.349547511312217
43,MP,12,19,0.8918330308529949
44,HP,20,23,0.48913043478260865
45,GI_net,19,21,0.40873015873015883
46,gene_gene_on_CbG_name_mapped,5,3,0.44999999999999996
47,gene_gene_on_GcG_name_mapped,29,30,0.20521137736216621
48,GOMF,8,6,
