,Layer,Dystonic_disorder nodes,Goiter nodes,sAB
0,coex_KDN,45,35,0.1158730158730159
1,coex_BST,38,21,0.16979949874686717
2,coex_OVR,41,29,0.4687732788657937
3,coex_LNG,40,26,0.5622596153846153
4,coex_ITI,47,27,0.16182139586394895
5,coex_VGN,46,25,0.2732823025107163
6,coex_HRV,20,10,0.1984674329501912
7,coex_MSG,42,31,0.2323243482103401
8,coex_ADV,38,16,0.27140350877192976
9,coex_EMS,42,14,0.352549889135255
10,coex_SMU,41,14,-0.050205891669306446
11,coex_ARG,45,21,0.2570436507936509
12,coex_TST,49,18,0.042187024063356615
13,coex_PIT,41,26,0.1531950939486435
14,coex_LVR,41,19,0.14634146341463428
15,coex_THY,33,27,1.5143097643097647
16,coex_PNC,42,20,0.15000000000000036
17,coex_ATC,43,20,0.2733111849390919
18,coex_BRO,43,21,0.2525661587810748
19,coex_SKN,42,20,0.3307603686635945
20,coex_ADS,24,13,0.8917582417582417
21,coex_GEJ,44,22,0.3437250892454857
22,coex_BRB,19,15,0.024603174603174516
23,coex_UTR,36,19,0.2592592592592591
24,coex_STM,45,23,0.2229184427394144
25,coex_HRA,43,15,0.07211975407645022
26,coex_PRS,39,18,0.16756635177687818
27,coex_ATA,34,22,0.7636363636363637
28,coex_FIB,38,23,0.13891285591026747
29,coex_BRC,42,22,0.33255269320843084
30,coex_ATT,40,21,0.5013661202185791
31,coex_TNV,11,13,0.22377622377622375
32,coex_SPL,41,24,0.2084740462789243
33,coex_LCL,38,22,0.11582395792922107
34,coex_CLS,45,21,0.25151515151515147
35,coex_EMC,38,18,0.3582915622389309
36,coex_CLT,47,23,0.0700541826351262
37,coex_core,46,30,0.7754004576659039
38,coex_WBL,41,17,-0.1549003116806018
39,co-essential,14,9,0.867408906882591
40,GOBP,18,20,0.2681818181818181
41,ppi,50,41,0.3374269632806217
42,reactome_copathway,12,7,-0.019696969696969546
43,MP,16,14,0.24809523809523792
44,HP,33,38,0.46230187406657985
45,GI_net,25,16,0.1400914634146342
46,gene_gene_on_CbG_name_mapped,11,11,0.4545454545454546
47,gene_gene_on_GcG_name_mapped,32,21,0.1470546945193172
48,GOMF,6,2,
