,Layer,Preeclampsia nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,46,43,-0.17249292782404213
1,coex_BST,28,24,0.40797430083144404
2,coex_OVR,33,26,0.07229174334437483
3,coex_LNG,29,31,0.43479792361883574
4,coex_ITI,37,39,0.024528577160156217
5,coex_VGN,32,33,0.15627913752913747
6,coex_HRV,34,21,-0.16851646318904923
7,coex_MSG,43,39,0.023110374216443574
8,coex_ADV,31,21,0.005996691480562699
9,coex_EMS,28,23,0.003805870174157011
10,coex_SMU,25,27,-0.22712418300653603
11,coex_ARG,22,21,-0.023809523809523725
12,coex_TST,38,32,-0.1031015037593983
13,coex_PIT,39,33,-0.1391802641802642
14,coex_LVR,33,27,0.10164867061418792
15,coex_THY,33,24,-0.19791666666666696
16,coex_PNC,33,25,-0.16369047619047583
17,coex_ATC,29,28,0.28163080114078287
18,coex_BRO,36,24,0.0430555555555554
19,coex_SKN,33,30,-0.11616161616161635
20,coex_ADS,34,26,-0.2176236542362302
21,coex_GEJ,27,18,0.19815805109922735
22,coex_BRB,36,25,-0.22756120527306956
23,coex_UTR,17,20,-0.33611111111111125
24,coex_STM,30,30,0.0
25,coex_HRA,30,25,0.7339215686274512
26,coex_PRS,26,30,-0.025071225071225278
27,coex_ATA,31,20,0.13666666666666671
28,coex_FIB,21,20,0.001855600539811153
29,coex_BRC,26,26,0.038461538461538325
30,coex_ATT,29,26,0.11337020169160672
31,coex_TNV,31,21,-0.27521008403361336
32,coex_SPL,27,29,0.13973271300857526
33,coex_LCL,10,14,0.4941471571906355
34,coex_CLS,31,26,0.3809041835357627
35,coex_EMC,30,31,0.36408784399489713
36,coex_CLT,33,37,-0.05884761767114721
37,coex_core,37,38,0.16962242562929064
38,coex_WBL,25,21,-0.11309523809523814
39,co-essential,3,7,0.2738095238095237
40,GOBP,14,10,0.0625
41,ppi,49,50,0.05943310657596368
42,reactome_copathway,20,16,0.13611111111111107
43,MP,12,12,0.07954545454545459
44,HP,21,24,0.2212301587301586
45,GI_net,13,14,-0.01612517916865741
46,gene_gene_on_CbG_name_mapped,19,16,-0.24530075187969924
47,gene_gene_on_GcG_name_mapped,27,38,-0.07349677612835515
48,GOMF,10,5,
