,Layer,Macular_degeneration nodes,Renal_neoplasm nodes,sAB
0,coex_KDN,38,40,0.17120598699546052
1,coex_BST,19,32,0.17576388888888905
2,coex_OVR,33,31,0.4999999999999998
3,coex_LNG,27,37,0.2693710193710195
4,coex_ITI,35,40,0.2749999999999999
5,coex_VGN,34,31,0.4403331224963103
6,coex_HRV,24,21,0.46924603174603163
7,coex_MSG,36,39,0.1908974358974358
8,coex_ADV,22,34,0.43756189344424623
9,coex_EMS,25,28,0.3825910364145657
10,coex_SMU,27,34,0.34318189935354826
11,coex_ARG,26,36,0.1267094017094017
12,coex_TST,34,39,0.06212421744250918
13,coex_PIT,31,35,0.16331922347102612
14,coex_LVR,31,37,0.2582696548540948
15,coex_THY,28,31,0.526083353545153
16,coex_PNC,29,35,0.38825944170771765
17,coex_ATC,29,35,0.18690476190476213
18,coex_BRO,32,40,0.1610576923076925
19,coex_SKN,35,35,0.5225794665692365
20,coex_ADS,27,29,0.3541239177218354
21,coex_GEJ,21,31,0.2162913441238561
22,coex_BRB,29,20,-0.1741027445460941
23,coex_UTR,24,33,0.692708333333333
24,coex_STM,33,34,0.3308590736158781
25,coex_HRA,34,31,0.29042799915665185
26,coex_PRS,31,28,0.4040556900726391
27,coex_ATA,30,32,0.319556451612903
28,coex_FIB,27,34,0.0073479561316052155
29,coex_BRC,31,36,0.13322994210090977
30,coex_ATT,30,33,0.573499459823247
31,coex_TNV,28,19,0.5152561636649766
32,coex_SPL,33,33,0.1212121212121211
33,coex_LCL,14,35,0.3153061224489797
34,coex_CLS,33,34,0.39109848484848486
35,coex_EMC,30,33,0.43780241935483843
36,coex_CLT,35,36,0.3244131455399062
37,coex_core,37,42,0.3959868959868962
38,coex_WBL,30,39,0.30261984392419206
39,co-essential,4,18,0.7777777777777777
40,GOBP,27,15,0.7230392156862742
41,ppi,50,50,0.17999999999999994
42,reactome_copathway,10,18,0.22863247863247826
43,MP,18,13,2.1163496002205675
44,HP,30,20,0.7666666666666668
45,GI_net,10,25,0.19151515151515142
46,gene_gene_on_CbG_name_mapped,8,12,-0.07083333333333353
47,gene_gene_on_GcG_name_mapped,36,37,0.000411370274383982
48,GOMF,5,5,
