,Layer,Tetralogy_of_Fallot nodes,Purpura nodes,sAB
0,coex_KDN,40,41,0.1969662752183079
1,coex_BST,26,24,-0.1085420790389735
2,coex_OVR,33,30,0.1562836021505376
3,coex_LNG,33,39,0.8022311022311022
4,coex_ITI,38,40,0.18520094770094775
5,coex_VGN,36,30,0.31439393939393945
6,coex_HRV,25,22,0.762929292929293
7,coex_MSG,38,38,0.03947368421052633
8,coex_ADV,30,29,0.40451977401129957
9,coex_EMS,24,27,-0.2311507936507935
10,coex_SMU,22,26,0.06701631701631716
11,coex_ARG,22,30,0.06666666666666665
12,coex_TST,36,30,-0.23989898989898983
13,coex_PIT,31,29,0.0345996493278784
14,coex_LVR,26,36,0.08060713233127026
15,coex_THY,31,37,0.3316452125750038
16,coex_PNC,25,25,0.09999999999999964
17,coex_ATC,38,36,0.2990358779832465
18,coex_BRO,31,33,0.043560606060605966
19,coex_SKN,33,31,-0.2464717741935485
20,coex_ADS,28,30,0.6467159277504106
21,coex_GEJ,30,32,0.4229166666666666
22,coex_BRB,20,23,0.577906976744186
23,coex_UTR,28,17,0.8486201298701301
24,coex_STM,34,33,0.08673876606273456
25,coex_HRA,27,27,0.3333333333333335
26,coex_PRS,29,28,0.13968109929997397
27,coex_ATA,28,32,0.1550595238095238
28,coex_FIB,17,22,-0.13015905662964466
29,coex_BRC,26,24,-0.23057692307692346
30,coex_ATT,32,35,-0.2903384861407252
31,coex_TNV,21,19,1.3916666666666666
32,coex_SPL,27,42,0.601909362778928
33,coex_LCL,9,24,-0.4842171717171717
34,coex_CLS,29,33,0.038055752182559965
35,coex_EMC,29,33,0.028937877102504617
36,coex_CLT,32,33,0.06425553613053592
37,coex_core,35,42,0.20047619047619047
38,coex_WBL,13,43,-0.08053283925376942
39,co-essential,10,6,1.9333333333333336
40,GOBP,12,19,0.41222222222222227
41,ppi,48,48,0.14583333333333326
42,reactome_copathway,16,18,0.6137254901960785
43,MP,14,13,1.2321627647714601
44,HP,27,30,0.6253411306042884
45,GI_net,11,19,-0.13652312599681027
46,gene_gene_on_CbG_name_mapped,5,12,0.09705882352941164
47,gene_gene_on_GcG_name_mapped,37,35,-0.2254933504933505
48,GOMF,8,5,
