,Layer,Cholelithiasis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,30,41,0.16800641245849057
1,coex_BST,22,17,0.2774235568353216
2,coex_OVR,20,20,-0.07500000000000018
3,coex_LNG,28,30,0.17767146646457022
4,coex_ITI,27,36,0.22949735449735442
5,coex_VGN,24,29,0.13959770114942538
6,coex_HRV,19,20,0.20175438596491269
7,coex_MSG,25,28,0.044845938375350114
8,coex_ADV,20,24,0.6854729729729727
9,coex_EMS,22,22,0.22727272727272707
10,coex_SMU,21,22,-0.004303835699184688
11,coex_ARG,22,18,0.17323232323232318
12,coex_TST,26,28,0.14657102157102164
13,coex_PIT,24,26,0.15711538461538455
14,coex_LVR,32,32,0.08719758064516125
15,coex_THY,21,30,0.9896223316912973
16,coex_PNC,19,22,-0.09820282413350423
17,coex_ATC,21,24,0.12142857142857144
18,coex_BRO,22,24,0.10647233201581052
19,coex_SKN,22,28,0.28310276679841895
20,coex_ADS,16,22,0.1911138411138409
21,coex_GEJ,19,23,0.1774027459954235
22,coex_BRB,13,17,0.17065287653522931
23,coex_UTR,17,20,0.40266295707472155
24,coex_STM,23,30,0.5090511348099538
25,coex_HRA,21,27,0.21838509316770183
26,coex_PRS,20,26,0.09195804195804236
27,coex_ATA,14,24,0.33333333333333304
28,coex_FIB,17,21,0.32957393483709296
29,coex_BRC,23,22,0.2098308668076112
30,coex_ATT,21,28,0.16033434650455902
31,coex_TNV,17,19,0.36996904024767785
32,coex_SPL,27,35,0.5730670762928829
33,coex_LCL,14,20,0.12301587301587302
34,coex_CLS,26,29,-0.07239377408538106
35,coex_EMC,26,30,0.3846153846153848
36,coex_CLT,24,32,0.5642361111111112
37,coex_core,27,37,0.40250544662309373
38,coex_WBL,24,33,1.072268740031898
39,co-essential,4,2,-0.916666666666667
40,GOBP,32,18,1.65734011627907
41,ppi,48,50,0.3361139455782314
42,reactome_copathway,15,19,0.4742690058479533
43,MP,13,22,1.982467532467533
44,HP,20,27,0.4907407407407407
45,GI_net,12,25,0.5680952380952382
46,gene_gene_on_CbG_name_mapped,19,12,-0.055531975099037956
47,gene_gene_on_GcG_name_mapped,29,33,-0.05091515825664872
48,GOMF,4,8,
