,Layer,Renal_tubular_acidosis nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,41,34,0.26267885532591406
1,coex_BST,29,28,0.10091804746977173
2,coex_OVR,31,33,-0.0741843841642229
3,coex_LNG,33,25,0.37396226415094347
4,coex_ITI,30,32,0.4816532258064514
5,coex_VGN,28,28,0.1607142857142856
6,coex_HRV,18,13,1.0665811965811969
7,coex_MSG,34,29,0.2171351299140345
8,coex_ADV,29,27,0.37904970417285666
9,coex_EMS,28,21,0.07605820105820094
10,coex_SMU,28,24,0.14308608058608052
11,coex_ARG,33,32,-0.10378933104177701
12,coex_TST,33,32,-0.2020541958041957
13,coex_PIT,33,32,0.3425708699902248
14,coex_LVR,29,29,0.27770935960591103
15,coex_THY,26,26,0.7712715855572996
16,coex_PNC,26,24,0.23935897435897457
17,coex_ATC,27,30,0.36734892787524354
18,coex_BRO,28,27,0.0726430976430974
19,coex_SKN,30,30,0.1499999999999999
20,coex_ADS,19,23,1.2219679633867275
21,coex_GEJ,31,32,0.5869754647348278
22,coex_BRB,15,19,0.558617131062952
23,coex_UTR,24,24,0.0
24,coex_STM,29,27,0.26742382776865536
25,coex_HRA,31,33,0.3210654936461388
26,coex_PRS,28,20,0.09523809523809512
27,coex_ATA,29,31,0.0363879559478244
28,coex_FIB,26,22,-0.14627039627039617
29,coex_BRC,30,29,0.21403940886699502
30,coex_ATT,29,28,0.10178343367998499
31,coex_TNV,11,22,0.5182629870129869
32,coex_SPL,32,24,0.6220238095238093
33,coex_LCL,25,18,-0.17460317460317465
34,coex_CLS,28,25,0.24771062271062272
35,coex_EMC,29,26,0.09391534391534417
36,coex_CLT,30,27,0.28717948717948705
37,coex_core,38,36,0.4998728705822528
38,coex_WBL,36,28,0.2599206349206349
39,co-essential,18,9,0.13888888888888884
40,GOBP,37,17,0.35763888888888884
41,ppi,49,45,0.009200559656486584
42,reactome_copathway,15,17,0.31506962864721477
43,MP,21,12,1.771141215106732
44,HP,36,37,0.38162306141758173
45,GI_net,18,17,-0.4606060606060609
46,gene_gene_on_CbG_name_mapped,17,6,0.16453537936913887
47,gene_gene_on_GcG_name_mapped,31,34,-0.05659757699605894
48,GOMF,13,6,-2.6833333333333327
