,Layer,Blepharitis nodes,Leukemia nodes,sAB
0,coex_KDN,43,44,0.09224563194090063
1,coex_BST,41,31,0.16584710201940722
2,coex_OVR,41,39,-0.016111632270168874
3,coex_LNG,45,41,0.1954055587067498
4,coex_ITI,42,42,0.11904761904761885
5,coex_VGN,42,40,0.09279609279609269
6,coex_HRV,15,13,0.5583516483516484
7,coex_MSG,45,41,0.11170353564000757
8,coex_ADV,39,30,0.23182831661092518
9,coex_EMS,42,34,0.08376326869477557
10,coex_SMU,41,34,0.21394548063127683
11,coex_ARG,41,36,0.029593495934959302
12,coex_TST,45,45,0.08888888888888902
13,coex_PIT,44,36,0.10883838383838396
14,coex_LVR,44,40,0.1906926406926408
15,coex_THY,25,30,0.513782051282051
16,coex_PNC,41,33,0.24596575511209684
17,coex_ATC,42,39,0.13839430611582504
18,coex_BRO,38,37,0.16102892366050314
19,coex_SKN,43,38,0.03356379635449391
20,coex_ADS,19,30,0.9754012691302729
21,coex_GEJ,41,34,0.12862856469015949
22,coex_BRB,14,18,0.4469246031746028
23,coex_UTR,37,33,0.07029367029367029
24,coex_STM,41,42,0.3140261394008088
25,coex_HRA,38,32,0.07857142857142851
26,coex_PRS,41,32,-0.01613661042432346
27,coex_ATA,36,34,0.2973210364514709
28,coex_FIB,40,38,0.12056306306306297
29,coex_BRC,40,37,-0.00571253071253075
30,coex_ATT,42,36,0.15541125541125522
31,coex_TNV,14,21,0.4666666666666668
32,coex_SPL,41,43,0.1314246533171013
33,coex_LCL,39,36,0.09415994942310735
34,coex_CLS,42,37,0.03451281299382547
35,coex_EMC,42,40,0.046631823461091626
36,coex_CLT,43,42,0.11703785734793493
37,coex_core,43,40,0.08953847258110814
38,coex_WBL,41,37,0.2598060723060722
39,co-essential,22,24,0.9003422346476433
40,GOBP,21,12,1.3026315789473681
41,ppi,50,50,0.16999999999999993
42,reactome_copathway,25,26,0.43181818181818166
43,MP,13,13,0.25
44,HP,36,32,0.17598566308243724
45,GI_net,29,35,0.31853448275862073
46,gene_gene_on_CbG_name_mapped,4,13,0.5707013574660631
47,gene_gene_on_GcG_name_mapped,35,39,0.09655479655479637
48,GOMF,4,2,
