,Layer,Seasonal_allergy nodes,Neoplasm_of_stomach nodes,sAB
0,coex_KDN,35,45,0.2402761795166859
1,coex_BST,24,35,0.25254237288135606
2,coex_OVR,25,32,0.33672811059907826
3,coex_LNG,24,45,0.4942028985507245
4,coex_ITI,29,40,0.1764055472263868
5,coex_VGN,20,36,0.03015873015873005
6,coex_HRV,29,29,0.18582375478927204
7,coex_MSG,34,44,0.04973947621006447
8,coex_ADV,22,27,0.11128289699718286
9,coex_EMS,19,31,-0.06051246854266745
10,coex_SMU,24,29,0.13063660477453576
11,coex_ARG,20,29,0.28004402054292
12,coex_TST,27,44,0.14608526580357561
13,coex_PIT,28,40,0.14334415584415594
14,coex_LVR,34,35,0.14476921203263915
15,coex_THY,26,40,0.16777502067824646
16,coex_PNC,25,35,0.042857142857142705
17,coex_ATC,27,34,0.24480436549402063
18,coex_BRO,31,37,0.10395993007933302
19,coex_SKN,23,35,0.1886645962732918
20,coex_ADS,29,38,0.11600158151882312
21,coex_GEJ,25,33,0.21178240740740772
22,coex_BRB,26,32,0.17900364721485418
23,coex_UTR,15,26,0.2626954346466541
24,coex_STM,28,42,0.25
25,coex_HRA,24,31,0.25249266862170083
26,coex_PRS,27,30,-0.09834307992202707
27,coex_ATA,29,29,0.0017824734249418661
28,coex_FIB,14,35,0.10430194805194803
29,coex_BRC,25,35,0.035692921236291086
30,coex_ATT,23,31,-0.0440077164215098
31,coex_TNV,30,24,0.19833008024289756
32,coex_SPL,23,35,0.3275862068965516
33,coex_LCL,14,26,0.39791787160208214
34,coex_CLS,24,35,0.27924674026623064
35,coex_EMC,28,37,0.1954365079365079
36,coex_CLT,27,34,0.15489838922818677
37,coex_core,34,42,0.21563482179920546
38,coex_WBL,27,39,0.2222222222222221
39,co-essential,6,17,0.02786377708978316
40,GOBP,14,10,-0.31662087912087955
41,ppi,49,50,-0.0008678622964337634
42,reactome_copathway,15,32,0.4375
43,MP,15,12,0.12564102564102564
44,HP,10,27,0.5065565565565566
45,GI_net,15,32,0.5634530141843972
46,gene_gene_on_CbG_name_mapped,12,17,0.1430865449628127
47,gene_gene_on_GcG_name_mapped,36,33,-0.04452129995608267
48,GOMF,5,3,
