,Layer,Pityriasis_rubra_pilaris nodes,Bronchiectasis nodes,sAB
0,coex_KDN,37,38,-0.04054054054054057
1,coex_BST,28,26,-0.05696661828737293
2,coex_OVR,32,23,-0.12473695286195285
3,coex_LNG,32,42,0.5403595559845558
4,coex_ITI,31,31,0.032258064516129004
5,coex_VGN,30,29,-0.13816481589713625
6,coex_HRV,16,24,0.09988154960981044
7,coex_MSG,36,39,0.15846153846153843
8,coex_ADV,33,20,-0.1599999999999997
9,coex_EMS,28,28,0.1282051282051282
10,coex_SMU,22,27,0.04674293960008247
11,coex_ARG,29,22,0.18987030548896655
12,coex_TST,33,38,-0.03153851337691216
13,coex_PIT,31,36,0.18887026951543096
14,coex_LVR,31,29,0.30531906584394286
15,coex_THY,28,31,0.7192766398755506
16,coex_PNC,30,31,0.18333333333333357
17,coex_ATC,32,28,0.11800595238095246
18,coex_BRO,33,37,0.20677266940853922
19,coex_SKN,33,26,0.13148693411851298
20,coex_ADS,29,26,0.5370629370629372
21,coex_GEJ,33,28,0.3756053268765134
22,coex_BRB,28,32,0.4144858374384237
23,coex_UTR,26,20,-0.17062937062937067
24,coex_STM,34,35,0.05949336256241633
25,coex_HRA,30,27,0.10598290598290583
26,coex_PRS,31,30,0.2606909924202361
27,coex_ATA,28,28,0.3214285714285716
28,coex_FIB,27,22,0.24137634851920553
29,coex_BRC,28,23,-0.03163439288758996
30,coex_ATT,28,31,0.15377884366087624
31,coex_TNV,17,17,0.8930654158215012
32,coex_SPL,30,27,-0.0495126705653024
33,coex_LCL,23,26,0.127039627039627
34,coex_CLS,32,34,-0.045957167832167745
35,coex_EMC,30,34,0.26530676786843754
36,coex_CLT,30,30,-0.16666666666666652
37,coex_core,35,38,0.226421688022874
38,coex_WBL,31,30,0.3037449017426772
39,co-essential,9,4,-0.06186868686868685
40,GOBP,18,29,2.0375525210084033
41,ppi,50,49,0.06035868893011753
42,reactome_copathway,25,18,-0.02777777777777768
43,MP,16,16,1.2937500000000002
44,HP,16,34,0.40985294117647064
45,GI_net,21,21,-0.07142857142857117
46,gene_gene_on_CbG_name_mapped,13,12,-0.1976923076923076
47,gene_gene_on_GcG_name_mapped,36,35,0.026609657947685994
48,GOMF,5,7,
