,Layer,Cataplexy_and_narcolepsy nodes,Obesity nodes,sAB
0,coex_KDN,32,40,-0.18854166666666683
1,coex_BST,21,25,-0.04741200828157366
2,coex_OVR,20,21,0.33772893772893786
3,coex_LNG,22,29,0.0011038961038960515
4,coex_ITI,28,36,0.06051587301587302
5,coex_VGN,26,25,0.14730769230769214
6,coex_HRV,16,23,-0.20140550239234445
7,coex_MSG,28,33,-0.2283283656234476
8,coex_ADV,19,30,0.11469265367316339
9,coex_EMS,22,23,0.504140786749482
10,coex_SMU,19,22,-0.17640056022408945
11,coex_ARG,18,14,-0.243551587301587
12,coex_TST,24,29,-0.19753036217740183
13,coex_PIT,24,30,0.028846153846153744
14,coex_LVR,19,30,-0.12876834944504112
15,coex_THY,16,23,0.41527614571092775
16,coex_PNC,17,24,0.2519129603060737
17,coex_ATC,21,30,-0.14859943977591028
18,coex_BRO,30,28,0.1416666666666666
19,coex_SKN,20,25,-0.14128787878787863
20,coex_ADS,18,25,0.04093023255813977
21,coex_GEJ,25,29,0.026871179794718092
22,coex_BRB,25,20,0.02833333333333332
23,coex_UTR,13,15,0.04065934065934096
24,coex_STM,26,27,0.13503435562259058
25,coex_HRA,20,29,0.03240740740740744
26,coex_PRS,23,18,0.2951945080091529
27,coex_ATA,18,29,0.0867247852919597
28,coex_FIB,13,17,-0.2274509803921565
29,coex_BRC,25,23,0.0179710144927534
30,coex_ATT,19,23,0.21690590111642738
31,coex_TNV,16,29,0.018521594684385523
32,coex_SPL,19,24,0.05428906568747438
33,coex_LCL,11,9,-0.666666666666667
34,coex_CLS,30,24,0.5169878296146044
35,coex_EMC,16,25,-0.38170731707317085
36,coex_CLT,26,32,0.41192805039787794
37,coex_core,30,37,0.22335967432950188
38,coex_WBL,21,25,-0.27287784679089055
39,co-essential,8,12,-1.0478468899521527
40,GOBP,25,16,0.2687324929971986
41,ppi,49,50,-0.011904761904761862
42,reactome_copathway,17,23,0.37274385560675904
43,MP,20,13,0.4916666666666667
44,HP,20,22,0.47164502164502164
45,GI_net,11,15,0.2310389610389607
46,gene_gene_on_CbG_name_mapped,7,14,0.6190476190476191
47,gene_gene_on_GcG_name_mapped,27,32,-0.3819836785938482
48,GOMF,10,7,
