,Layer,Extrapyramidal_disease nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,37,35,0.07312312312312308
1,coex_BST,30,20,0.16550501345072166
2,coex_OVR,29,20,0.17678571428571432
3,coex_LNG,29,28,0.16190020069330435
4,coex_ITI,38,25,0.07503759398496257
5,coex_VGN,36,32,0.07330869175627241
6,coex_HRV,17,13,0.34977375565610824
7,coex_MSG,37,27,0.08022084584584599
8,coex_ADV,31,28,0.35627240143369177
9,coex_EMS,23,19,0.013636363636363669
10,coex_SMU,21,16,0.03442728442728438
11,coex_ARG,30,17,-0.11307189542483664
12,coex_TST,32,27,-0.024236895794099045
13,coex_PIT,33,21,-0.07414236706689525
14,coex_LVR,29,38,0.2860064468943848
15,coex_THY,22,24,0.17572846769004524
16,coex_PNC,32,27,-0.034235570386849545
17,coex_ATC,30,21,0.14481792717086828
18,coex_BRO,38,18,-0.024331662489557093
19,coex_SKN,33,28,0.2647243107769426
20,coex_ADS,30,18,0.7611111111111115
21,coex_GEJ,26,22,0.6871237458193984
22,coex_BRB,28,15,0.11209856035437404
23,coex_UTR,24,14,-0.2484335839598999
24,coex_STM,33,31,0.18181818181818166
25,coex_HRA,27,27,0.1876006441223832
26,coex_PRS,29,24,0.20043103448275867
27,coex_ATA,30,15,-0.01732548359966346
28,coex_FIB,21,12,0.14448051948051943
29,coex_BRC,28,21,0.07586119554204673
30,coex_ATT,28,20,0.4245847176079738
31,coex_TNV,21,18,0.8055555555555558
32,coex_SPL,28,35,0.08293650793650786
33,coex_LCL,18,5,0.09824561403508802
34,coex_CLS,31,27,0.3057021831215381
35,coex_EMC,32,23,0.2720108695652175
36,coex_CLT,33,27,0.13407214254671884
37,coex_core,38,28,0.2747607655502391
38,coex_WBL,27,20,0.12959022852639857
39,co-essential,10,6,2.6515151515151514
40,GOBP,16,29,0.396747967479675
41,ppi,49,50,0.16002267573696138
42,reactome_copathway,15,21,0.9119047619047618
43,MP,19,13,0.44444444444444464
44,HP,22,24,0.32238142292490113
45,GI_net,16,16,0.15625
46,gene_gene_on_CbG_name_mapped,14,23,0.3604163169380561
47,gene_gene_on_GcG_name_mapped,38,36,0.18430930930930933
48,GOMF,5,8,
