,Layer,Urinary_bladder_inflammation nodes,Periodontitis nodes,sAB
0,coex_KDN,34,36,-0.23203463203463204
1,coex_BST,21,19,-0.13730158730158726
2,coex_OVR,25,20,-0.05697674418604626
3,coex_LNG,32,28,-0.14876611873274825
4,coex_ITI,32,28,-0.30461309523809543
5,coex_VGN,27,21,-0.053439153439153175
6,coex_HRV,29,25,-0.03930020283975644
7,coex_MSG,33,30,-0.38268398268398274
8,coex_ADV,23,27,-0.1938604873387484
9,coex_EMS,17,19,-0.055109922756981344
10,coex_SMU,20,17,0.27142857142857135
11,coex_ARG,22,17,-0.26477959604894563
12,coex_TST,30,21,-0.37282913165266107
13,coex_PIT,34,24,-0.32090939824205544
14,coex_LVR,26,30,-0.0302671466464568
15,coex_THY,21,17,-0.05415499533146573
16,coex_PNC,25,24,0.1262681159420289
17,coex_ATC,26,27,-0.28027737461699687
18,coex_BRO,34,21,-0.14164756811815615
19,coex_SKN,24,17,0.07275641025640978
20,coex_ADS,26,20,-0.3056020066889633
21,coex_GEJ,22,26,-0.2340786749482402
22,coex_BRB,29,20,-0.40473258268824774
23,coex_UTR,14,12,0.4946753246753248
24,coex_STM,25,27,0.08746438746438723
25,coex_HRA,24,25,0.2835144927536235
26,coex_PRS,20,18,-0.007739938080495445
27,coex_ATA,25,19,0.08300751879699253
28,coex_FIB,20,14,-0.701890756302521
29,coex_BRC,31,16,-0.505533154121864
30,coex_ATT,21,18,-0.15277777777777768
31,coex_TNV,21,18,-0.22497420020639813
32,coex_SPL,23,26,0.38258480649784987
33,coex_LCL,15,11,-0.04999999999999982
34,coex_CLS,23,18,-0.3471557682083999
35,coex_EMC,24,23,-0.19565217391304346
36,coex_CLT,25,18,-0.10945121951219527
37,coex_core,33,31,-0.07272727272727275
38,coex_WBL,26,28,0.33974358974358965
39,co-essential,10,10,-0.8999999999999999
40,GOBP,4,17,-0.3809523809523805
41,ppi,50,49,-0.020647289218717724
42,reactome_copathway,26,29,0.1260989010989011
43,MP,9,15,0.40476190476190466
44,HP,16,13,0.0977287798408486
45,GI_net,19,21,-0.368421052631579
46,gene_gene_on_CbG_name_mapped,17,25,-0.036358543417366995
47,gene_gene_on_GcG_name_mapped,33,30,-0.3823953823953825
48,GOMF,3,2,
