,Layer,Erythema_nodosum nodes,Leukemia nodes,sAB
0,coex_KDN,36,44,0.19924242424242422
1,coex_BST,27,31,0.29845602426247586
2,coex_OVR,28,39,-0.06255125471543366
3,coex_LNG,30,41,0.3366655215847931
4,coex_ITI,37,42,0.04884088428392208
5,coex_VGN,30,40,0.14358974358974352
6,coex_HRV,20,13,-0.005313765182186181
7,coex_MSG,34,41,0.0990769966523195
8,coex_ADV,32,30,0.23462217514124273
9,coex_EMS,31,34,0.10434580910250668
10,coex_SMU,27,34,0.011768277438479746
11,coex_ARG,25,36,0.23751412429378504
12,coex_TST,33,45,0.020202020202020332
13,coex_PIT,32,36,0.23335375816993476
14,coex_LVR,28,40,0.15819327731092447
15,coex_THY,25,30,0.4751515151515151
16,coex_PNC,32,33,0.4309613997113999
17,coex_ATC,30,39,0.11410256410256414
18,coex_BRO,29,37,0.28911346691519113
19,coex_SKN,29,38,0.23751023751023737
20,coex_ADS,28,30,0.5845238095238092
21,coex_GEJ,28,34,0.1638655462184877
22,coex_BRB,19,18,0.25
23,coex_UTR,23,33,0.18831168831168865
24,coex_STM,34,42,0.25014742739200946
25,coex_HRA,28,32,0.26309523809523827
26,coex_PRS,30,32,0.16454388072357284
27,coex_ATA,32,34,0.30500937454930055
28,coex_FIB,25,38,-0.036936936936937004
29,coex_BRC,25,37,0.15192676547515216
30,coex_ATT,35,36,0.18021978021978047
31,coex_TNV,20,21,0.39473684210526283
32,coex_SPL,28,43,0.10202438463308039
33,coex_LCL,24,36,0.2989448258326979
34,coex_CLS,31,37,0.03858550632744184
35,coex_EMC,29,40,0.2614256304683482
36,coex_CLT,33,42,0.04329004329004338
37,coex_core,37,40,0.36858108108108123
38,coex_WBL,30,37,0.4349603334677963
39,co-essential,5,24,1.2371237458193978
40,GOBP,28,12,0.939393939393939
41,ppi,47,50,0.09882869050230325
42,reactome_copathway,18,26,0.6805555555555558
43,MP,11,13,1.0583333333333336
44,HP,19,32,0.7049915110356539
45,GI_net,25,35,0.576551724137931
46,gene_gene_on_CbG_name_mapped,9,13,0.3096348096348096
47,gene_gene_on_GcG_name_mapped,29,39,-0.01611015759088774
48,GOMF,10,2,
