,Layer,Priapism nodes,Pancreatitis nodes,sAB
0,coex_KDN,34,27,0.04891558745514102
1,coex_BST,18,24,0.40837813620071706
2,coex_OVR,28,15,0.47023809523809534
3,coex_LNG,36,18,0.9777777777777779
4,coex_ITI,33,27,0.17037037037037028
5,coex_VGN,26,19,0.4901709401709402
6,coex_HRV,25,15,0.6979166666666665
7,coex_MSG,29,19,0.29302782819116757
8,coex_ADV,20,24,0.8029448621553885
9,coex_EMS,22,21,0.48823051948051965
10,coex_SMU,23,10,0.3711462450592884
11,coex_ARG,19,16,0.551033834586466
12,coex_TST,29,21,0.2522577996715927
13,coex_PIT,23,20,0.04937070938215116
14,coex_LVR,30,20,0.17619047619047623
15,coex_THY,26,17,1.065322128851541
16,coex_PNC,20,28,0.7708333333333335
17,coex_ATC,27,13,0.6903846153846156
18,coex_BRO,26,19,0.14547908232118756
19,coex_SKN,24,13,0.18905925155925152
20,coex_ADS,28,25,1.2098005698005698
21,coex_GEJ,24,13,0.44415584415584375
22,coex_BRB,27,19,0.1654670865197181
23,coex_UTR,17,8,0.3562500000000002
24,coex_STM,29,19,0.17161978221415608
25,coex_HRA,23,14,0.6377846790890267
26,coex_PRS,25,10,0.1552941176470588
27,coex_ATA,19,27,1.0890688259109311
28,coex_FIB,16,7,0.12965838509316807
29,coex_BRC,20,17,0.06458333333333366
30,coex_ATT,23,20,0.7394927536231881
31,coex_TNV,20,21,0.7581453634085213
32,coex_SPL,35,17,1.3420168067226892
33,coex_LCL,16,6,0.1893939393939399
34,coex_CLS,27,14,0.7219334719334718
35,coex_EMC,21,14,0.01941391941391979
36,coex_CLT,30,18,0.38404255319148906
37,coex_core,34,36,0.7214052287581698
38,coex_WBL,29,19,0.43587416817906854
39,co-essential,6,7,0.4015151515151518
40,GOBP,22,16,2.418548387096774
41,ppi,48,49,0.21770460761624233
42,reactome_copathway,19,16,1.2204184704184704
43,MP,14,13,1.0722610722610728
44,HP,17,17,0.3823529411764708
45,GI_net,17,12,0.011663286004056861
46,gene_gene_on_CbG_name_mapped,19,12,0.4386672325976231
47,gene_gene_on_GcG_name_mapped,31,33,0.037710777126099604
48,GOMF,7,12,1.0
