,Layer,Orchitis nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,37,42,0.3888206388206388
1,coex_BST,19,34,0.35080874455045175
2,coex_OVR,23,34,0.19052545919553587
3,coex_LNG,35,37,0.5280244530244533
4,coex_ITI,32,39,0.2304738272480209
5,coex_VGN,25,39,0.2596153846153846
6,coex_HRV,24,19,0.2938341493268055
7,coex_MSG,33,43,0.27608397314639666
8,coex_ADV,27,33,0.41750841750841783
9,coex_EMS,22,33,0.18240093240093236
10,coex_SMU,22,41,0.5089483687044662
11,coex_ARG,20,36,0.534126984126984
12,coex_TST,32,40,0.20451388888888888
13,coex_PIT,30,38,0.2061919504643963
14,coex_LVR,28,39,0.3241341991341993
15,coex_THY,27,37,1.0260506408047392
16,coex_PNC,26,35,0.4522624434389142
17,coex_ATC,31,35,0.6239491691104595
18,coex_BRO,32,35,0.5152585287846483
19,coex_SKN,26,37,0.4513564636515457
20,coex_ADS,27,29,0.8982420554428665
21,coex_GEJ,22,30,0.7452380952380953
22,coex_BRB,23,18,0.1272239896312004
23,coex_UTR,15,32,0.13199404761904754
24,coex_STM,30,36,0.24217171717171704
25,coex_HRA,22,37,0.5946534308603277
26,coex_PRS,23,38,0.3960925039872407
27,coex_ATA,28,31,0.8033468718269154
28,coex_FIB,22,30,0.4472027972027972
29,coex_BRC,17,37,0.16799152093269765
30,coex_ATT,25,40,0.5993852459016393
31,coex_TNV,24,18,1.2393723646920574
32,coex_SPL,30,34,0.35585072738772916
33,coex_LCL,14,28,0.08350202429149789
34,coex_CLS,25,38,0.28512641673931993
35,coex_EMC,32,36,0.4887706043956044
36,coex_CLT,32,40,0.45458158017765293
37,coex_core,36,41,0.6055942702284165
38,coex_WBL,32,36,0.35212418300653603
39,co-essential,2,13,-1.3948717948717952
40,GOBP,13,20,2.723333333333333
41,ppi,49,50,0.3458256029684601
42,reactome_copathway,24,7,0.8541666666666665
43,MP,16,13,2.083333333333333
44,HP,24,31,0.998154936461388
45,GI_net,20,17,0.3101158645276292
46,gene_gene_on_CbG_name_mapped,8,12,0.05833333333333357
47,gene_gene_on_GcG_name_mapped,27,41,0.03326425421116963
48,GOMF,5,6,
