,Layer,Abetalipoproteinaemia nodes,West_syndrome nodes,sAB
0,coex_KDN,40,46,0.0984074823053589
1,coex_BST,31,37,0.17103327448777628
2,coex_OVR,36,38,0.0800734945471786
3,coex_LNG,37,38,0.3061308677098151
4,coex_ITI,40,40,0.15000000000000013
5,coex_VGN,33,40,0.2084630552096305
6,coex_HRV,24,23,0.0662878787878789
7,coex_MSG,40,42,0.13646922183507537
8,coex_ADV,28,35,0.10436507936507944
9,coex_EMS,30,40,0.373634336677815
10,coex_SMU,30,39,0.09152731326644381
11,coex_ARG,28,40,0.15189075630252113
12,coex_TST,36,44,0.05380730380730392
13,coex_PIT,32,43,-0.06969476744186043
14,coex_LVR,35,38,-0.040659747961453
15,coex_THY,31,37,0.3903067290164062
16,coex_PNC,29,37,0.23712897850828885
17,coex_ATC,36,39,0.11649572649572648
18,coex_BRO,36,42,0.13843575124062935
19,coex_SKN,35,41,0.19450761048963883
20,coex_ADS,33,21,0.6646798170383077
21,coex_GEJ,32,36,0.6107032044080674
22,coex_BRB,27,20,0.06465721040189099
23,coex_UTR,21,34,-0.12257448433919027
24,coex_STM,37,39,-0.024464748148958604
25,coex_HRA,32,38,0.1495300751879698
26,coex_PRS,33,36,0.16853315766359245
27,coex_ATA,30,38,0.671451355661882
28,coex_FIB,26,35,0.02579715366600599
29,coex_BRC,34,42,0.08926728586171295
30,coex_ATT,32,38,0.5378773219814241
31,coex_TNV,21,16,0.5118055555555552
32,coex_SPL,36,43,0.005846662087462873
33,coex_LCL,24,27,-0.00840891912320485
34,coex_CLS,32,38,0.06141917293233079
35,coex_EMC,30,35,0.317032967032967
36,coex_CLT,34,38,0.08062435500515996
37,coex_core,39,39,0.08960776066039222
38,coex_WBL,34,36,0.17040149393090576
39,co-essential,6,11,-0.02406417112299497
40,GOBP,24,22,0.7488269794721405
41,ppi,50,49,0.16104102246959373
42,reactome_copathway,12,18,0.6495800395256919
43,MP,14,5,3.295454545454545
44,HP,27,34,0.10208400300010712
45,GI_net,13,20,-0.1628205128205127
46,gene_gene_on_CbG_name_mapped,11,12,0.04627799736495386
47,gene_gene_on_GcG_name_mapped,30,33,-0.015512265512265477
48,GOMF,7,4,
