,Layer,Angioedema nodes,Keratitis nodes,sAB
0,coex_KDN,44,39,0.09262925829190882
1,coex_BST,19,29,0.8182356190325888
2,coex_OVR,24,41,0.10520833333333313
3,coex_LNG,31,35,0.3084558823529413
4,coex_ITI,33,35,0.3257370080899493
5,coex_VGN,32,39,0.3200882606199771
6,coex_HRV,21,20,0.49473684210526336
7,coex_MSG,31,45,0.3391435578192792
8,coex_ADV,25,30,0.6975
9,coex_EMS,23,31,0.6102799854553012
10,coex_SMU,30,25,0.35484848484848497
11,coex_ARG,22,31,0.7143350008625151
12,coex_TST,29,35,0.12347598522167491
13,coex_PIT,26,37,0.136050886050886
14,coex_LVR,39,32,0.4674577916215239
15,coex_THY,24,24,0.21212997224791863
16,coex_PNC,24,32,0.5148809523809521
17,coex_ATC,24,30,0.34074074074074057
18,coex_BRO,27,35,0.27328042328042335
19,coex_SKN,33,37,0.3001638001638003
20,coex_ADS,28,31,0.6964285714285712
21,coex_GEJ,27,40,0.6844040069846522
22,coex_BRB,22,24,0.2647123407992975
23,coex_UTR,12,22,0.32330659536541884
24,coex_STM,32,33,0.2206002331002328
25,coex_HRA,28,31,0.6132783882783883
26,coex_PRS,26,32,0.23231456043956067
27,coex_ATA,25,29,0.21877394636015346
28,coex_FIB,19,21,0.34129072681704287
29,coex_BRC,21,27,0.2944559466298595
30,coex_ATT,29,27,0.5651243681497422
31,coex_TNV,23,21,0.8813758705063051
32,coex_SPL,36,28,0.5860615079365079
33,coex_LCL,11,21,0.4121212121212121
34,coex_CLS,31,30,0.47403863677783864
35,coex_EMC,31,34,0.19450468359386774
36,coex_CLT,33,33,0.303030303030303
37,coex_core,39,43,0.48735485791789346
38,coex_WBL,28,30,0.6725369458128081
39,co-essential,3,6,0.75
40,GOBP,30,20,1.4957894736842108
41,ppi,50,50,0.31000000000000005
42,reactome_copathway,20,20,1.3099415204678362
43,MP,19,16,1.4463815789473684
44,HP,29,33,0.5685778811474029
45,GI_net,9,25,-0.008928571428571619
46,gene_gene_on_CbG_name_mapped,16,6,0.1297348484848484
47,gene_gene_on_GcG_name_mapped,29,30,-0.09019092148840846
48,GOMF,8,2,
