,Layer,Hepatic_encephalopathy nodes,Facial_paralysis nodes,sAB
0,coex_KDN,42,45,0.11851907782140336
1,coex_BST,22,35,0.2234133790737567
2,coex_OVR,23,37,0.21707654859828773
3,coex_LNG,29,43,0.19875478927203094
4,coex_ITI,33,41,0.09191786021054327
5,coex_VGN,23,42,0.4521739130434783
6,coex_HRV,20,26,0.3834249084249084
7,coex_MSG,28,44,0.015331890331890419
8,coex_ADV,33,36,0.29077060931899634
9,coex_EMS,25,41,0.11599085365853634
10,coex_SMU,23,38,0.3159113928799189
11,coex_ARG,25,39,0.15109890109890123
12,coex_TST,27,42,0.06855302507476435
13,coex_PIT,30,41,0.12730447727012484
14,coex_LVR,31,36,0.32086877440753225
15,coex_THY,25,40,0.09354628422425026
16,coex_PNC,23,39,0.4614269788182832
17,coex_ATC,25,44,0.04295125164690372
18,coex_BRO,30,39,0.22954292084726902
19,coex_SKN,27,41,0.2000938086303936
20,coex_ADS,23,31,0.5828528388135679
21,coex_GEJ,27,39,0.40051282051282033
22,coex_BRB,24,30,0.2849175412293854
23,coex_UTR,18,32,0.43322328931572596
24,coex_STM,27,39,0.32659932659932656
25,coex_HRA,30,40,0.462012987012987
26,coex_PRS,19,41,0.4261631481861041
27,coex_ATA,22,38,0.18508771929824563
28,coex_FIB,20,34,-0.07298474945533773
29,coex_BRC,29,42,0.17611190817790545
30,coex_ATT,24,42,0.4717261904761907
31,coex_TNV,21,24,1.1938153310104527
32,coex_SPL,34,37,0.5539980742963346
33,coex_LCL,15,22,0.0230139230139228
34,coex_CLS,28,41,0.26707051384239344
35,coex_EMC,22,37,0.1989309884046726
36,coex_CLT,27,39,0.23141673141673147
37,coex_core,36,45,0.2818713450292396
38,coex_WBL,31,32,0.596774193548387
39,co-essential,7,6,0.4976190476190476
40,GOBP,18,25,0.595959595959596
41,ppi,49,50,0.27491445062873643
42,reactome_copathway,23,14,0.050116550116549696
43,MP,15,16,0.13736263736263732
44,HP,27,34,0.5977253424910454
45,GI_net,23,20,-0.08796394485683967
46,gene_gene_on_CbG_name_mapped,31,5,0.3315412186379929
47,gene_gene_on_GcG_name_mapped,31,39,0.16516601677891996
48,GOMF,9,6,
