,Layer,Hereditary_antithrombin_deficiency nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,34,31,0.24025570037639632
1,coex_BST,26,21,0.43388099049053763
2,coex_OVR,24,24,0.22916666666666696
3,coex_LNG,30,25,0.3303030303030301
4,coex_ITI,32,27,0.34491721594475844
5,coex_VGN,26,28,0.1148998060762767
6,coex_HRV,17,40,0.6941047471620228
7,coex_MSG,33,44,0.15422077922077926
8,coex_ADV,26,20,0.26939799331103664
9,coex_EMS,24,34,0.35400326797385606
10,coex_SMU,23,36,0.3122901825923199
11,coex_ARG,23,21,0.17929726996966622
12,coex_TST,30,30,0.09999999999999987
13,coex_PIT,34,26,0.10571071930098297
14,coex_LVR,35,18,0.0174603174603174
15,coex_THY,23,31,0.5293631100082714
16,coex_PNC,26,16,0.017448405253283727
17,coex_ATC,27,38,1.2235492577597844
18,coex_BRO,27,27,0.008547008547008517
19,coex_SKN,28,24,0.1868131868131866
20,coex_ADS,23,21,0.6923913043478263
21,coex_GEJ,30,24,0.544927536231884
22,coex_BRB,18,21,0.13352638352638335
23,coex_UTR,19,22,0.24078072120434113
24,coex_STM,29,29,0.22413793103448287
25,coex_HRA,23,43,0.3386810863555052
26,coex_PRS,28,43,0.33245987553226364
27,coex_ATA,27,19,0.5036020001695056
28,coex_FIB,21,17,-0.09206840630989221
29,coex_BRC,24,30,0.38520408163265296
30,coex_ATT,32,29,0.6328448275862066
31,coex_TNV,18,26,0.6158088235294117
32,coex_SPL,33,23,0.385540184453228
33,coex_LCL,19,24,0.35917919799498743
34,coex_CLS,33,28,0.23063973063973053
35,coex_EMC,27,19,0.435533277638541
36,coex_CLT,30,24,0.22777777777777763
37,coex_core,29,41,1.0704991836936624
38,coex_WBL,29,34,1.6667680865449628
39,co-essential,16,11,1.1937079124579124
40,GOBP,31,23,2.388798207270514
41,ppi,49,49,0.4285714285714286
42,reactome_copathway,22,17,1.8467580213903743
43,MP,17,25,0.6616666666666666
44,HP,30,38,0.4851909184726524
45,GI_net,18,17,0.3046642899584078
46,gene_gene_on_CbG_name_mapped,14,11,0.683896103896104
47,gene_gene_on_GcG_name_mapped,35,27,0.012783751493428808
48,GOMF,8,2,
