,Layer,Respiratory_insufficiency nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,42,29,-0.015605470186015769
1,coex_BST,34,19,0.20098039215686248
2,coex_OVR,34,21,-0.22431425400348814
3,coex_LNG,37,31,0.31586146769684076
4,coex_ITI,39,24,0.08310439560439575
5,coex_VGN,39,25,-0.13642628205128204
6,coex_HRV,19,16,0.08739035087719316
7,coex_MSG,43,26,0.18064089600995548
8,coex_ADV,33,20,0.2062121212121215
9,coex_EMS,33,22,0.025058275058274848
10,coex_SMU,41,19,0.10918193927701969
11,coex_ARG,36,22,-0.008315917798676242
12,coex_TST,40,24,0.060416666666666785
13,coex_PIT,38,25,0.2462573099415204
14,coex_LVR,39,33,0.3964646464646464
15,coex_THY,37,19,0.21252021252021258
16,coex_PNC,35,21,-0.0795390883626177
17,coex_ATC,35,22,0.08444976076555033
18,coex_BRO,35,24,0.20671912832929795
19,coex_SKN,37,18,0.025327214006459098
20,coex_ADS,29,16,0.6601293103448276
21,coex_GEJ,30,19,0.08749999999999991
22,coex_BRB,18,15,0.23888888888888893
23,coex_UTR,32,21,0.08941701680672276
24,coex_STM,36,26,0.06530879514750487
25,coex_HRA,37,19,0.17187666135034574
26,coex_PRS,38,27,0.08982793522267185
27,coex_ATA,31,17,0.6838630613535739
28,coex_FIB,30,17,0.0019021739130433701
29,coex_BRC,37,23,0.203393324674789
30,coex_ATT,40,17,0.3777412280701755
31,coex_TNV,18,15,0.7773109243697478
32,coex_SPL,34,38,1.1842237846794599
33,coex_LCL,28,16,-0.04093406593406623
34,coex_CLS,38,24,-0.005953699601240592
35,coex_EMC,36,26,0.14768113242689518
36,coex_CLT,40,24,0.1968749999999999
37,coex_core,41,32,0.2749924347878716
38,coex_WBL,36,34,0.7859477124183005
39,co-essential,13,11,0.2619463869463867
40,GOBP,20,28,0.6038461538461539
41,ppi,50,50,0.27
42,reactome_copathway,7,10,0.6464646464646462
43,MP,13,15,2.054029304029304
44,HP,31,22,0.9933879267415482
45,GI_net,17,16,0.07020872865275152
46,gene_gene_on_CbG_name_mapped,12,15,0.15000000000000013
47,gene_gene_on_GcG_name_mapped,41,32,0.18571980454393588
48,GOMF,6,2,
