,Layer,Pruritus nodes,Vitamin_K_deficiency nodes,sAB
0,coex_KDN,39,40,0.33520580296896085
1,coex_BST,24,31,0.5791666666666666
2,coex_OVR,28,25,0.28747978436657684
3,coex_LNG,34,37,0.4249703307284083
4,coex_ITI,33,33,0.12121212121212133
5,coex_VGN,35,31,0.041837732160312724
6,coex_HRV,25,16,0.6034451219512196
7,coex_MSG,37,36,0.27256365954996076
8,coex_ADV,23,27,0.21938808373590968
9,coex_EMS,32,25,0.49859649122807026
10,coex_SMU,28,29,0.3004493993604702
11,coex_ARG,28,28,0.31150793650793673
12,coex_TST,38,36,0.19138217164532967
13,coex_PIT,31,31,0.17635289970033496
14,coex_LVR,29,43,0.5809275594760761
15,coex_THY,31,29,0.7668149796069708
16,coex_PNC,31,31,0.3225806451612905
17,coex_ATC,34,32,0.26432656395891696
18,coex_BRO,32,31,0.2824580773169485
19,coex_SKN,38,35,0.35886370856719285
20,coex_ADS,34,30,1.1779033452461443
21,coex_GEJ,34,28,0.9337557603686637
22,coex_BRB,27,20,0.4302994483845548
23,coex_UTR,22,22,0.3977272727272725
24,coex_STM,35,36,0.12957187569863637
25,coex_HRA,30,28,0.3942495126705654
26,coex_PRS,35,33,0.3798319327731092
27,coex_ATA,29,26,0.5925417175417178
28,coex_FIB,19,30,0.05714285714285716
29,coex_BRC,27,30,0.19044834307992176
30,coex_ATT,31,27,0.2539288668320929
31,coex_TNV,34,22,0.6529131652661067
32,coex_SPL,30,37,0.09840661557079478
33,coex_LCL,18,20,0.2680575312154261
34,coex_CLS,36,36,0.375
35,coex_EMC,31,34,0.34150153980153664
36,coex_CLT,33,38,0.185064132803199
37,coex_core,40,35,0.3485991485991484
38,coex_WBL,24,31,0.21705767350928618
39,co-essential,6,7,1.3214285714285714
40,GOBP,19,31,0.955140850627318
41,ppi,50,48,0.3085714285714285
42,reactome_copathway,14,18,1.4964760097587422
43,MP,21,12,0.6683982683982688
44,HP,26,27,0.7357146696769337
45,GI_net,18,17,0.11657329598506072
46,gene_gene_on_CbG_name_mapped,14,16,0.2940476190476189
47,gene_gene_on_GcG_name_mapped,32,30,-0.051881720430107636
48,GOMF,5,10,
