,Layer,Primary_dilated_cardiomyopathy nodes,Strabismus nodes,sAB
0,coex_KDN,31,43,0.22315936126888847
1,coex_BST,21,41,-0.02972488038277543
2,coex_OVR,24,39,0.09653540903540891
3,coex_LNG,25,42,0.12057569296375226
4,coex_ITI,27,46,0.15678424106059619
5,coex_VGN,28,41,0.08227747861894197
6,coex_HRV,40,16,0.8857142857142857
7,coex_MSG,44,46,0.48771409749670624
8,coex_ADV,20,38,0.15916515426497257
9,coex_EMS,34,41,0.3856767097082736
10,coex_SMU,36,39,0.6649572649572648
11,coex_ARG,21,38,0.238067150635209
12,coex_TST,30,45,0.03222222222222215
13,coex_PIT,26,43,0.1026807705270798
14,coex_LVR,18,38,0.019527986633249617
15,coex_THY,31,36,1.1329955886407497
16,coex_PNC,16,39,0.27236467236467243
17,coex_ATC,38,42,0.9196115288220552
18,coex_BRO,27,38,0.15939153439153442
19,coex_SKN,24,44,0.11430481283422456
20,coex_ADS,21,20,0.31842105263157894
21,coex_GEJ,24,40,0.44426229508196746
22,coex_BRB,21,17,0.337240159221583
23,coex_UTR,22,39,0.03365137687171571
24,coex_STM,29,41,0.2544525800227575
25,coex_HRA,43,40,0.5174103390305407
26,coex_PRS,43,41,0.4405842314237096
27,coex_ATA,19,40,0.4285347903657448
28,coex_FIB,17,37,0.12974739445327677
29,coex_BRC,30,43,-0.003647970816233137
30,coex_ATT,29,39,0.5679957787855452
31,coex_TNV,26,18,0.987373737373737
32,coex_SPL,23,41,0.2480448038176033
33,coex_LCL,24,32,0.10937500000000022
34,coex_CLS,28,44,0.11945434739552363
35,coex_EMC,19,42,0.30366169661441744
36,coex_CLT,24,43,0.24320259169269942
37,coex_core,41,43,0.8267158252977875
38,coex_WBL,34,38,1.299053259747835
39,co-essential,11,20,0.7985690235690233
40,GOBP,23,17,0.9995504495504495
41,ppi,49,48,0.20369591135423226
42,reactome_copathway,17,12,-0.018246187363834654
43,MP,25,17,1.8768910256410258
44,HP,38,32,0.5261748120300751
45,GI_net,17,27,0.1255656108597285
46,gene_gene_on_CbG_name_mapped,11,4,-0.015151515151514916
47,gene_gene_on_GcG_name_mapped,27,33,-0.041077441077441046
48,GOMF,2,5,
