,Layer,Abnormality_of_the_coagulation_cascade nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,43,40,-0.0883826001681145
1,coex_BST,25,30,-0.2686163522012579
2,coex_OVR,28,26,0.0
3,coex_LNG,36,34,0.01353083069500971
4,coex_ITI,33,32,-0.10735722610722598
5,coex_VGN,36,30,0.1636200716845877
6,coex_HRV,24,16,-0.408333333333333
7,coex_MSG,41,34,-0.275035868005739
8,coex_ADV,25,30,0.07333333333333325
9,coex_EMS,26,24,0.16384615384615353
10,coex_SMU,29,21,0.1472577996715927
11,coex_ARG,26,24,0.162908163265306
12,coex_TST,36,30,-0.14949494949494957
13,coex_PIT,37,34,-0.15691126088806273
14,coex_LVR,47,39,-0.14458442761263157
15,coex_THY,28,28,0.03993211540381347
16,coex_PNC,37,29,-0.05673698777147074
17,coex_ATC,27,31,-0.002842664689160612
18,coex_BRO,32,27,-0.3415570175438596
19,coex_SKN,37,32,-0.03681133056133068
20,coex_ADS,29,21,0.013096111518708486
21,coex_GEJ,28,29,0.10851648351648358
22,coex_BRB,22,14,-0.6100288600288601
23,coex_UTR,25,22,0.06908761528326757
24,coex_STM,37,33,-0.10831870831870849
25,coex_HRA,30,30,0.028735632183908066
26,coex_PRS,31,28,-0.051667577911427065
27,coex_ATA,32,27,-0.13450259418001353
28,coex_FIB,27,26,-0.1466026984894908
29,coex_BRC,33,29,0.022204806687565304
30,coex_ATT,34,29,-0.3045518207282911
31,coex_TNV,24,14,0.04840848806366038
32,coex_SPL,44,38,0.00013128719803945366
33,coex_LCL,15,22,-0.09140049140049156
34,coex_CLS,33,36,-0.17784185134931407
35,coex_EMC,38,31,-0.2278273319311761
36,coex_CLT,35,34,-0.0893740104737546
37,coex_core,36,34,-0.016571969696969724
38,coex_WBL,35,35,-0.08571428571428585
39,co-essential,6,8,-0.07142857142857162
40,GOBP,34,30,-0.06267507002801098
41,ppi,50,49,-0.1425870954442383
42,reactome_copathway,26,17,0.3468712062686239
43,MP,15,16,0.08809523809523778
44,HP,41,18,-0.045071425290524214
45,GI_net,17,16,-0.21875
46,gene_gene_on_CbG_name_mapped,16,12,0.07440476190476208
47,gene_gene_on_GcG_name_mapped,28,32,-0.4703869047619045
48,GOMF,9,7,-2.25
