,Layer,Small_cell_lung_carcinoma nodes,Neoplasm_of_the_large_intestine nodes,sAB
0,coex_KDN,38,50,0.01817170111287747
1,coex_BST,28,37,-0.02710523023023015
2,coex_OVR,33,43,-0.312126775713067
3,coex_LNG,36,49,-0.037141523275977084
4,coex_ITI,34,49,-0.12341081010717536
5,coex_VGN,34,43,-0.17479169257555038
6,coex_HRV,21,24,0.03953488372092995
7,coex_MSG,39,49,0.055807287950145223
8,coex_ADV,27,36,0.2810846560846558
9,coex_EMS,37,38,0.1178657027611607
10,coex_SMU,27,38,0.08864147548358092
11,coex_ARG,26,40,-0.04086538461538458
12,coex_TST,42,46,0.07145209862601143
13,coex_PIT,38,43,0.0143289964791391
14,coex_LVR,28,43,-0.04975200037433902
15,coex_THY,30,41,0.18210784313725492
16,coex_PNC,27,44,-0.027866695120216445
17,coex_ATC,37,38,-0.062193772720088525
18,coex_BRO,41,41,0.1585365853658538
19,coex_SKN,36,43,-0.01866843293101761
20,coex_ADS,28,30,0.6996101364522418
21,coex_GEJ,36,40,0.024017094017093843
22,coex_BRB,23,25,0.2691102514506767
23,coex_UTR,29,34,0.02901142308102922
24,coex_STM,33,48,0.0579089950134255
25,coex_HRA,32,39,0.041068526543878825
26,coex_PRS,31,42,-0.04727184731603651
27,coex_ATA,26,38,0.00137009189640791
28,coex_FIB,28,41,-0.08805710125331534
29,coex_BRC,37,40,-0.0942251461988306
30,coex_ATT,32,39,0.311378943637008
31,coex_TNV,19,21,-0.22408963585434138
32,coex_SPL,29,41,0.05381437688616231
33,coex_LCL,21,28,-0.10263975155279503
34,coex_CLS,35,46,-0.08978222528947155
35,coex_EMC,33,45,-0.05627325890483781
36,coex_CLT,35,47,-0.23671219626090267
37,coex_core,40,46,0.1436552072800812
38,coex_WBL,29,40,0.11439075630252105
39,co-essential,10,22,0.18965517241379315
40,GOBP,15,8,1.0319548872180446
41,ppi,50,50,0.06999999999999984
42,reactome_copathway,20,33,0.11169386169386164
43,MP,15,13,1.428113553113553
44,HP,19,25,-0.17679425837320584
45,GI_net,25,37,0.12117117117117138
46,gene_gene_on_CbG_name_mapped,15,17,0.006617647058823506
47,gene_gene_on_GcG_name_mapped,35,36,-0.07175832774424329
48,GOMF,1,2,
