,Layer,Pleural_effusion nodes,Erysipelas nodes,sAB
0,coex_KDN,39,46,-0.1696865368220868
1,coex_BST,25,22,-0.032900432900432985
2,coex_OVR,29,34,0.04772293668739391
3,coex_LNG,32,37,-0.24472434390912645
4,coex_ITI,38,42,-0.04770929466051421
5,coex_VGN,30,39,-0.07449564691338528
6,coex_HRV,26,31,-0.05134735100779242
7,coex_MSG,37,41,-0.024288829166877912
8,coex_ADV,27,33,-0.2691912607166844
9,coex_EMS,26,27,-0.17282554047259913
10,coex_SMU,26,28,-0.09315221815221797
11,coex_ARG,29,30,-0.06678333765448108
12,coex_TST,30,43,-0.23864287989805666
13,coex_PIT,33,37,-0.1307359307359306
14,coex_LVR,36,41,-0.15136997149192277
15,coex_THY,29,36,-0.07614087301587302
16,coex_PNC,28,30,-0.25595238095238115
17,coex_ATC,33,37,-0.07584826674500578
18,coex_BRO,34,42,0.026080702551290802
19,coex_SKN,31,35,0.012582041614299655
20,coex_ADS,30,34,-0.12087286527514252
21,coex_GEJ,29,36,0.051350048216007416
22,coex_BRB,28,31,0.1511237771848979
23,coex_UTR,19,29,0.6369047619047619
24,coex_STM,33,37,-0.03350883350883338
25,coex_HRA,27,31,-0.1063297200818425
26,coex_PRS,27,34,-0.24799099967855964
27,coex_ATA,31,37,-0.09346633160674878
28,coex_FIB,15,21,0.37878787878787845
29,coex_BRC,23,31,0.06846397589735576
30,coex_ATT,32,39,-0.03699690402476796
31,coex_TNV,24,37,-0.029487022025710186
32,coex_SPL,32,32,-0.234375
33,coex_LCL,14,21,-0.1471861471861471
34,coex_CLS,31,40,-0.045444877702942144
35,coex_EMC,32,34,-0.22490530303030298
36,coex_CLT,36,40,-0.11880630630630651
37,coex_core,37,43,-0.11134824845451874
38,coex_WBL,29,36,-0.1291114058355436
39,co-essential,7,6,0.5952380952380953
40,GOBP,19,21,0.38888888888888884
41,ppi,47,49,-0.04081180344478219
42,reactome_copathway,17,24,-0.08477870813397104
43,MP,17,15,-0.47638888888888875
44,HP,26,19,-0.1618308591992803
45,GI_net,22,21,-0.046959138422552726
46,gene_gene_on_CbG_name_mapped,7,14,-0.05952380952380931
47,gene_gene_on_GcG_name_mapped,23,30,-0.23589007383100902
48,GOMF,8,8,
