,Layer,Epilepsy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,34,29,0.24001596116117452
1,coex_BST,26,19,0.40854700854700843
2,coex_OVR,18,21,0.08241758241758257
3,coex_LNG,25,31,0.6711143695014665
4,coex_ITI,30,24,0.1078703703703705
5,coex_VGN,34,25,-0.0532003988035894
6,coex_HRV,10,16,0.0955357142857145
7,coex_MSG,28,26,0.22262922262922258
8,coex_ADV,22,20,0.4092657342657344
9,coex_EMS,26,22,0.21809440559440585
10,coex_SMU,22,19,0.10126262626262639
11,coex_ARG,34,22,0.0893812070282658
12,coex_TST,35,24,0.10440879741727205
13,coex_PIT,42,25,0.26678749111584943
14,coex_LVR,24,33,0.4029839208410635
15,coex_THY,22,19,0.16237373737373728
16,coex_PNC,27,21,0.13458994708994698
17,coex_ATC,28,22,0.5618181818181818
18,coex_BRO,49,24,0.15972222222222232
19,coex_SKN,27,18,0.30623306233062353
20,coex_ADS,18,16,1.6958741830065356
21,coex_GEJ,29,19,0.4267241379310345
22,coex_BRB,35,15,0.2116794543904521
23,coex_UTR,24,21,0.2924280177187155
24,coex_STM,31,26,0.04495886117278314
25,coex_HRA,27,19,0.4436816679379607
26,coex_PRS,25,27,0.03565610859728485
27,coex_ATA,21,17,0.7391272298393039
28,coex_FIB,19,17,0.4502349624060149
29,coex_BRC,46,23,0.3625892277741727
30,coex_ATT,24,17,0.7658514492753623
31,coex_TNV,21,15,1.0938940092165903
32,coex_SPL,21,38,1.424954511161408
33,coex_LCL,16,16,0.21921182266009853
34,coex_CLS,28,24,0.24244505494505475
35,coex_EMC,24,26,0.14423076923076916
36,coex_CLT,30,24,0.17546296296296293
37,coex_core,28,32,0.38005140021269046
38,coex_WBL,23,34,1.6949546617065798
39,co-essential,5,11,0.49431818181818166
40,GOBP,28,28,1.172931565788709
41,ppi,50,50,0.2599999999999998
42,reactome_copathway,13,10,1.2948717948717947
43,MP,13,15,2.5797402597402597
44,HP,31,22,1.3244895700769101
45,GI_net,17,16,-0.12210338680926935
46,gene_gene_on_CbG_name_mapped,15,15,0.10000000000000009
47,gene_gene_on_GcG_name_mapped,38,32,0.11313439849624052
48,GOMF,4,2,
