,Layer,Pyelonephritis nodes,Cholangitis nodes,sAB
0,coex_KDN,42,42,-0.09059233449477344
1,coex_BST,26,25,0.0
2,coex_OVR,32,26,0.1857829670329667
3,coex_LNG,34,30,-0.2380793474230627
4,coex_ITI,35,35,-0.17142857142857126
5,coex_VGN,32,28,0.12583964695774452
6,coex_HRV,26,25,0.0985067873303167
7,coex_MSG,35,32,0.05296508528784649
8,coex_ADV,31,28,-0.025974025974025983
9,coex_EMS,22,23,-0.0046113306982875635
10,coex_SMU,26,28,0.11538461538461542
11,coex_ARG,21,21,0.0952380952380949
12,coex_TST,27,32,-0.25343298807281855
13,coex_PIT,35,32,-0.35153769841269855
14,coex_LVR,36,31,-0.23013293746322128
15,coex_THY,25,27,0.11243589743589766
16,coex_PNC,29,25,0.05588859416445624
17,coex_ATC,30,22,0.03414918414918411
18,coex_BRO,30,25,-0.05909090909090908
19,coex_SKN,26,26,0.31999999999999984
20,coex_ADS,24,28,0.15833333333333321
21,coex_GEJ,29,28,0.1826923076923075
22,coex_BRB,21,21,-0.11904761904761907
23,coex_UTR,20,19,-0.20833333333333348
24,coex_STM,30,33,-0.1333333333333333
25,coex_HRA,25,27,0.2272527472527468
26,coex_PRS,29,26,-0.02338557993730417
27,coex_ATA,31,21,-0.001680672268907557
28,coex_FIB,20,19,-0.23888888888888893
29,coex_BRC,21,29,0.24404761904761907
30,coex_ATT,30,23,0.3446021887015678
31,coex_TNV,24,20,-0.2493680485338725
32,coex_SPL,27,23,-0.11043123543123556
33,coex_LCL,14,19,0.20549357264128054
34,coex_CLS,33,30,-0.24366949648711955
35,coex_EMC,30,21,-0.05333333333333323
36,coex_CLT,32,32,0.06434011776753712
37,coex_core,40,38,-0.07599299704562856
38,coex_WBL,29,28,0.1461279461279461
39,co-essential,4,11,-2.060606060606061
40,GOBP,14,24,0.4494505494505492
41,ppi,50,48,-0.02734693877551031
42,reactome_copathway,14,17,-0.31398809523809557
43,MP,16,17,-0.426190476190476
44,HP,13,21,0.3879870129870131
45,GI_net,23,18,-0.5115470719924591
46,gene_gene_on_CbG_name_mapped,12,13,-0.1270512820512819
47,gene_gene_on_GcG_name_mapped,32,30,-0.021135752688172138
48,GOMF,4,6,
