,Layer,Ulcerative_colitis nodes,Crohn_disease nodes,sAB
0,coex_KDN,39,38,-0.2894736842105263
1,coex_BST,15,27,-0.02804232804232809
2,coex_OVR,26,30,-0.6572727272727272
3,coex_LNG,37,34,-0.2215276774100301
4,coex_ITI,38,38,-0.38157894736842124
5,coex_VGN,28,32,-0.6582512315270936
6,coex_HRV,23,25,-0.24608695652173918
7,coex_MSG,39,36,-0.28524177496780245
8,coex_ADV,30,24,-0.3009615384615387
9,coex_EMS,22,26,-0.6048190939495284
10,coex_SMU,22,28,-0.5345454545454547
11,coex_ARG,21,28,-0.3945578231292517
12,coex_TST,27,31,-0.6072384954476167
13,coex_PIT,34,30,-0.28161764705882364
14,coex_LVR,38,34,-0.3648090815273479
15,coex_THY,26,31,-0.6827195159113666
16,coex_PNC,29,28,-0.3928571428571428
17,coex_ATC,32,31,-0.5395945340501793
18,coex_BRO,33,32,-0.5079181235431236
19,coex_SKN,25,30,-0.30030091086532207
20,coex_ADS,27,28,-0.5225866027752819
21,coex_GEJ,30,27,-0.25255427841634726
22,coex_BRB,26,22,-0.5018939393939392
23,coex_UTR,18,19,-0.7373952900268688
24,coex_STM,36,35,-0.26677285937849327
25,coex_HRA,27,29,-0.3338574423480085
26,coex_PRS,30,26,-0.5283018867924529
27,coex_ATA,32,34,-0.36539104278074874
28,coex_FIB,21,16,-0.08228764478764483
29,coex_BRC,24,25,-0.6735034013605445
30,coex_ATT,23,29,-0.1649609687135043
31,coex_TNV,20,22,-0.6982683982683984
32,coex_SPL,33,35,-0.2669977081741788
33,coex_LCL,24,21,-0.9755411255411257
34,coex_CLS,25,28,-0.5228011204481795
35,coex_EMC,28,30,-0.5494663382594418
36,coex_CLT,31,33,-0.5378303420011306
37,coex_core,39,36,-0.277616789603091
38,coex_WBL,35,37,-0.4315100815100814
39,co-essential,7,9,-2.3015873015873014
40,GOBP,16,21,-0.12500000000000044
41,ppi,49,50,-0.4145001030715316
42,reactome_copathway,18,24,-0.033893948296122245
43,MP,14,13,-0.6459790209790208
44,HP,18,21,-0.5412087912087913
45,GI_net,24,18,-0.9452397784847413
46,gene_gene_on_CbG_name_mapped,10,15,-0.33333333333333326
47,gene_gene_on_GcG_name_mapped,27,31,-0.8111275903267003
48,GOMF,6,8,-1.0
