,Layer,Tetralogy_of_Fallot nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,40,29,0.5097143592382913
1,coex_BST,26,19,0.5303418803418802
2,coex_OVR,33,21,0.06271057951482484
3,coex_LNG,33,31,0.9015339499210464
4,coex_ITI,38,24,0.033682247821592126
5,coex_VGN,36,25,0.13887978142076474
6,coex_HRV,25,16,0.5679166666666666
7,coex_MSG,38,26,0.10368168016194335
8,coex_ADV,30,20,0.7817375886524822
9,coex_EMS,24,22,0.229663747105608
10,coex_SMU,22,19,0.47171717171717154
11,coex_ARG,22,22,0.11991341991341997
12,coex_TST,36,24,-0.15694444444444455
13,coex_PIT,31,25,0.2872727272727271
14,coex_LVR,26,33,0.5705470999588647
15,coex_THY,31,19,0.6873857069709608
16,coex_PNC,25,21,0.20016563146997912
17,coex_ATC,38,22,0.28971291866028737
18,coex_BRO,31,24,0.456818181818182
19,coex_SKN,33,18,0.06862745098039191
20,coex_ADS,28,16,0.3139880952380949
21,coex_GEJ,30,19,0.8709302325581394
22,coex_BRB,20,15,0.5604166666666668
23,coex_UTR,28,21,0.8928571428571428
24,coex_STM,34,26,0.2537707390648569
25,coex_HRA,27,19,0.46944656326807355
26,coex_PRS,29,27,0.5107547624789004
27,coex_ATA,28,17,0.7836134453781511
28,coex_FIB,17,17,-0.08171791443850251
29,coex_BRC,26,23,0.3994607876595455
30,coex_ATT,32,17,0.5208333333333335
31,coex_TNV,21,15,0.8594537815126051
32,coex_SPL,27,38,1.6183527277277276
33,coex_LCL,9,16,0.039510006901311456
34,coex_CLS,29,24,0.32348715348208246
35,coex_EMC,29,26,0.19018067163805652
36,coex_CLT,32,24,0.2477678571428572
37,coex_core,35,32,0.5965397364378688
38,coex_WBL,13,34,0.7583207642031171
39,co-essential,10,11,1.2160287081339711
40,GOBP,12,28,1.1475961538461537
41,ppi,48,50,0.2650425170068029
42,reactome_copathway,16,10,0.6666666666666667
43,MP,14,15,1.8465934065934069
44,HP,27,22,0.9892118463547035
45,GI_net,11,16,0.18909090909090898
46,gene_gene_on_CbG_name_mapped,5,15,0.20000000000000018
47,gene_gene_on_GcG_name_mapped,37,32,0.08117288484136287
48,GOMF,8,2,
