,Layer,Orthostatic_hypotension nodes,West_syndrome nodes,sAB
0,coex_KDN,36,46,0.05040061270177931
1,coex_BST,23,37,-0.18760884709160575
2,coex_OVR,28,38,0.14604693552061976
3,coex_LNG,28,38,0.13869902027796766
4,coex_ITI,34,40,0.11150635930047703
5,coex_VGN,33,40,0.17670713989207143
6,coex_HRV,15,23,0.6023341523341528
7,coex_MSG,34,42,-0.061182367683915606
8,coex_ADV,22,35,0.03197767145135533
9,coex_EMS,26,40,0.060256410256410486
10,coex_SMU,24,39,0.2996794871794872
11,coex_ARG,28,40,0.3741341991341991
12,coex_TST,36,44,0.1900252525252526
13,coex_PIT,31,43,0.5007907382250967
14,coex_LVR,30,38,0.08070175438596472
15,coex_THY,27,37,0.4643706206206204
16,coex_PNC,28,37,0.03796406296406296
17,coex_ATC,31,39,-0.02009925558312653
18,coex_BRO,32,42,0.4072732208486469
19,coex_SKN,28,41,0.20347295864263004
20,coex_ADS,23,21,0.41761880687563213
21,coex_GEJ,28,36,-0.021825396825397192
22,coex_BRB,21,20,0.4860046457607434
23,coex_UTR,22,34,-0.023873185637891314
24,coex_STM,32,39,0.21061303719754432
25,coex_HRA,30,38,0.19595864661654128
26,coex_PRS,24,36,0.11388888888888893
27,coex_ATA,26,38,0.22512080449262095
28,coex_FIB,18,35,-0.022371967654986502
29,coex_BRC,26,42,0.357843137254902
30,coex_ATT,28,38,0.7068238778765097
31,coex_TNV,23,16,0.9530646718146722
32,coex_SPL,29,43,-0.08979328165374678
33,coex_LCL,21,27,-0.012096138691883418
34,coex_CLS,28,38,-0.09683299156983383
35,coex_EMC,30,35,0.197802197802198
36,coex_CLT,32,38,0.23954417293233088
37,coex_core,33,39,0.13266860780065004
38,coex_WBL,28,36,0.14781746031746024
39,co-essential,7,11,0.19162210338680907
40,GOBP,16,22,1.5948484848484852
41,ppi,50,49,0.2512430426716141
42,reactome_copathway,17,18,0.8145833333333332
43,MP,20,5,2.89187643020595
44,HP,29,34,0.4735744872661707
45,GI_net,25,20,0.1588372093023258
46,gene_gene_on_CbG_name_mapped,15,12,0.1601851851851852
47,gene_gene_on_GcG_name_mapped,35,33,0.17891824300955106
48,GOMF,8,4,
