,Layer,Infection_of_bone nodes,Cholangitis nodes,sAB
0,coex_KDN,30,42,-0.5571428571428572
1,coex_BST,19,25,0.753652312599681
2,coex_OVR,18,26,0.11169386169386186
3,coex_LNG,20,30,0.11804624003787545
4,coex_ITI,20,35,-0.24950838635049144
5,coex_VGN,16,28,-0.27475649350649367
6,coex_HRV,17,25,0.3216806722689074
7,coex_MSG,24,32,-0.04985119047619069
8,coex_ADV,34,28,0.6621008403361346
9,coex_EMS,27,23,0.5099148838279273
10,coex_SMU,12,28,0.08117558117558099
11,coex_ARG,11,21,0.9040854978354975
12,coex_TST,14,32,-0.06939935064935088
13,coex_PIT,19,32,-0.3227156432748537
14,coex_LVR,27,31,-0.265933341572941
15,coex_THY,9,27,-0.05395299145299148
16,coex_PNC,30,25,0.6006130268199232
17,coex_ATC,16,22,0.21780303030302983
18,coex_BRO,13,25,0.24089068825910953
19,coex_SKN,15,26,0.5384615384615383
20,coex_ADS,24,28,1.4483333333333337
21,coex_GEJ,20,28,0.22879208891794756
22,coex_BRB,11,21,0.0903225806451613
23,coex_UTR,6,19,0.8999999999999999
24,coex_STM,22,33,0.11946386946386944
25,coex_HRA,18,27,0.6177884615384615
26,coex_PRS,12,26,0.5314285714285711
27,coex_ATA,28,21,0.5153010153010151
28,coex_FIB,6,19,-0.3055555555555556
29,coex_BRC,8,29,0.2413127413127416
30,coex_ATT,26,23,0.3051690821256039
31,coex_TNV,31,20,0.3051075268817205
32,coex_SPL,25,23,0.13747474747474753
33,coex_LCL,7,19,0.25361480624638544
34,coex_CLS,17,30,0.1035348922177568
35,coex_EMC,15,21,-0.007575757575757347
36,coex_CLT,16,32,0.002101661779081221
37,coex_core,41,38,0.14231418918918903
38,coex_WBL,24,28,0.25885076252723316
39,co-essential,7,11,-0.6955266955266954
40,GOBP,23,24,0.5952380952380953
41,ppi,47,48,0.010470324748040438
42,reactome_copathway,16,17,-0.07535919540229874
43,MP,13,17,-0.9601972101972103
44,HP,12,21,-0.013528138528138722
45,GI_net,15,18,-0.5131313131313133
46,gene_gene_on_CbG_name_mapped,14,13,-0.440781440781441
47,gene_gene_on_GcG_name_mapped,29,30,0.0683908045977013
48,GOMF,6,6,
