,Layer,Sinusitis nodes,Pneumonia nodes,sAB
0,coex_KDN,41,36,0.191629129129129
1,coex_BST,21,23,0.8094720496894414
2,coex_OVR,33,28,0.518704880728186
3,coex_LNG,43,35,0.5588651862213676
4,coex_ITI,39,31,0.12829965733191528
5,coex_VGN,31,22,0.3381978642173409
6,coex_HRV,28,31,0.20631437527989238
7,coex_MSG,40,38,0.1163967611336032
8,coex_ADV,31,35,0.40679723502304155
9,coex_EMS,27,26,0.44632981397687255
10,coex_SMU,32,23,0.10183808449548826
11,coex_ARG,28,22,0.10266233766233812
12,coex_TST,38,25,-0.21494569757727655
13,coex_PIT,33,33,0.24242424242424243
14,coex_LVR,35,32,0.11301510989010977
15,coex_THY,37,23,0.08037602820211509
16,coex_PNC,34,26,-0.031221719457013464
17,coex_ATC,38,26,-0.052544302544302646
18,coex_BRO,36,35,0.22482673820701993
19,coex_SKN,33,23,0.26936026936026947
20,coex_ADS,37,24,0.405411877394636
21,coex_GEJ,30,30,0.2586206896551726
22,coex_BRB,28,28,0.10449735449735442
23,coex_UTR,23,17,0.5645511583011587
24,coex_STM,37,31,0.30504128416841914
25,coex_HRA,23,25,0.1627272727272726
26,coex_PRS,32,28,0.3035714285714284
27,coex_ATA,35,26,0.22663438256658597
28,coex_FIB,20,26,0.2327759197324415
29,coex_BRC,25,24,0.5356462585034012
30,coex_ATT,35,24,0.13546798029556673
31,coex_TNV,22,24,0.08143939393939403
32,coex_SPL,37,23,0.08807285546415966
33,coex_LCL,21,16,0.0894868082368081
34,coex_CLS,29,24,0.23326013879852514
35,coex_EMC,36,27,0.18518518518518512
36,coex_CLT,35,29,0.2941876750700281
37,coex_core,40,34,0.11234101748807612
38,coex_WBL,37,30,0.12420330778539723
39,co-essential,4,9,0.7601010101010095
40,GOBP,18,12,2.0618421052631577
41,ppi,49,50,0.3219789734075449
42,reactome_copathway,19,25,0.45338345864661656
43,MP,17,11,0.8434640522875818
44,HP,28,12,0.14404761904761898
45,GI_net,19,22,0.44367167919799533
46,gene_gene_on_CbG_name_mapped,11,14,0.07376623376623392
47,gene_gene_on_GcG_name_mapped,28,29,0.17426108374384253
48,GOMF,1,2,
