,Layer,Status_epilepticus nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,39,42,-0.07283834586466176
1,coex_BST,29,23,0.3756221889055473
2,coex_OVR,23,30,0.10069930069930111
3,coex_LNG,32,35,0.45581023454157776
4,coex_ITI,32,39,0.07713750451426504
5,coex_VGN,27,34,0.3053544494720968
6,coex_HRV,26,21,-0.501461304652794
7,coex_MSG,36,39,0.11782051282051276
8,coex_ADV,22,33,0.056060606060606144
9,coex_EMS,23,31,0.1940418679549114
10,coex_SMU,25,33,-0.07527412280701773
11,coex_ARG,25,34,0.0697261663286004
12,coex_TST,33,33,0.2272727272727273
13,coex_PIT,38,36,0.3143472419788209
14,coex_LVR,35,35,0.12857142857142856
15,coex_THY,32,31,0.3142809139784948
16,coex_PNC,25,32,-0.23648026315789483
17,coex_ATC,27,40,0.46115948037589805
18,coex_BRO,37,38,0.12107159791370314
19,coex_SKN,26,35,0.3830841289857685
20,coex_ADS,28,30,0.6003284072249588
21,coex_GEJ,24,32,0.4488463453770821
22,coex_BRB,31,22,0.16614563160515727
23,coex_UTR,21,22,-0.012728937728937684
24,coex_STM,34,33,0.2381807539840901
25,coex_HRA,30,29,0.40357142857142847
26,coex_PRS,20,28,0.007458806590945777
27,coex_ATA,28,38,0.39756944444444464
28,coex_FIB,20,29,0.15008796622097131
29,coex_BRC,37,32,0.2503121327849587
30,coex_ATT,26,33,0.390603146853147
31,coex_TNV,28,28,0.5248316498316496
32,coex_SPL,24,29,-0.08185588809368927
33,coex_LCL,17,23,-0.026126814362108508
34,coex_CLS,28,35,0.43931034482758635
35,coex_EMC,25,34,0.08041751183231938
36,coex_CLT,28,33,0.18639481986939632
37,coex_core,38,42,0.44958921694480125
38,coex_WBL,34,36,0.11909430438842206
39,co-essential,9,11,-0.40694444444444455
40,GOBP,14,10,0.4722222222222223
41,ppi,50,50,0.18999999999999972
42,reactome_copathway,19,25,0.21156015037594011
43,MP,12,16,0.2333333333333334
44,HP,18,27,0.09074074074074079
45,GI_net,20,23,0.11970457079152697
46,gene_gene_on_CbG_name_mapped,21,11,0.09402056277056259
47,gene_gene_on_GcG_name_mapped,32,35,-0.05858208955223865
48,GOMF,4,5,
