,Layer,Infection_of_bone nodes,Periodontitis nodes,sAB
0,coex_KDN,30,36,-0.5349816849816849
1,coex_BST,19,19,0.33845029239766067
2,coex_OVR,18,20,-0.432748538011696
3,coex_LNG,20,28,-0.32833820662768054
4,coex_ITI,20,28,-0.3967000835421888
5,coex_VGN,16,21,-0.18005952380952372
6,coex_HRV,17,25,-0.5682089909134387
7,coex_MSG,24,30,-0.24490740740740757
8,coex_ADV,34,27,0.03428294394680953
9,coex_EMS,27,19,-0.24768518518518512
10,coex_SMU,12,17,-0.8961038961038958
11,coex_ARG,11,17,0.12528647822765482
12,coex_TST,14,21,-0.23051948051948057
13,coex_PIT,19,24,-0.49106760804450156
14,coex_LVR,27,30,-0.4790868454661559
15,coex_THY,9,17,-0.20188618925831214
16,coex_PNC,30,24,-0.11413737575656624
17,coex_ATC,16,27,-0.40100129198966417
18,coex_BRO,13,21,-0.41715147597500524
19,coex_SKN,15,17,-0.2678160919540231
20,coex_ADS,24,20,1.0833333333333335
21,coex_GEJ,20,26,-0.3092344497607653
22,coex_BRB,11,20,-0.2583333333333333
23,coex_UTR,6,12,0.4389610389610392
24,coex_STM,22,27,-0.3537183428487778
25,coex_HRA,18,25,-0.4499491869918699
26,coex_PRS,12,18,-0.12723311546840987
27,coex_ATA,28,19,-0.5165692007797273
28,coex_FIB,6,14,-0.4190476190476191
29,coex_BRC,8,16,-0.887616459627329
30,coex_ATT,26,18,0.20814814814814797
31,coex_TNV,31,18,-0.15159181952350842
32,coex_SPL,25,26,-0.3509733124018837
33,coex_LCL,7,11,-0.5535714285714288
34,coex_CLS,17,18,-0.3874416433239958
35,coex_EMC,15,23,-0.20386473429951701
36,coex_CLT,16,18,-0.2610632183908046
37,coex_core,41,31,-0.43022598870056505
38,coex_WBL,24,28,-0.24198717948717974
39,co-essential,7,10,-0.715966386554622
40,GOBP,23,17,-0.583333333333333
41,ppi,47,49,-0.08440078158923159
42,reactome_copathway,16,29,0.16396631823461094
43,MP,13,15,-0.006493506493506551
44,HP,12,13,0.09012820512820507
45,GI_net,15,21,-0.0882205513784462
46,gene_gene_on_CbG_name_mapped,14,25,-0.303003663003663
47,gene_gene_on_GcG_name_mapped,29,30,-0.5245470485096435
48,GOMF,6,2,
