,Layer,Chorea nodes,Dermatitis nodes,sAB
0,coex_KDN,42,32,0.07786357786357767
1,coex_BST,40,19,0.4679292929292931
2,coex_OVR,37,23,0.41748922835879365
3,coex_LNG,40,34,0.42972689075630255
4,coex_ITI,45,26,0.41593836523413974
5,coex_VGN,41,23,0.33225079533404034
6,coex_HRV,19,25,0.20035087719298206
7,coex_MSG,44,32,0.33081638755980847
8,coex_ADV,33,22,0.3030303030303032
9,coex_EMS,40,23,0.596703492516037
10,coex_SMU,37,25,0.13420578473210032
11,coex_ARG,38,23,0.3281499202551834
12,coex_TST,47,30,0.2252325688495902
13,coex_PIT,45,26,0.29943421211026844
14,coex_LVR,33,29,0.13107156099369677
15,coex_THY,37,24,0.3666666666666667
16,coex_PNC,36,22,0.2985022640195054
17,coex_ATC,38,23,0.1995442097760436
18,coex_BRO,42,28,0.17500575109270766
19,coex_SKN,41,29,0.2707076775201249
20,coex_ADS,33,27,0.7587181337181339
21,coex_GEJ,44,27,0.661671058410189
22,coex_BRB,26,21,0.19106071233730826
23,coex_UTR,31,12,0.2767879469867469
24,coex_STM,43,28,0.24830377614524357
25,coex_HRA,40,23,0.2036749482401654
26,coex_PRS,39,25,0.2872596153846154
27,coex_ATA,36,19,0.519922913343966
28,coex_FIB,27,17,0.11487423252129125
29,coex_BRC,44,22,0.17045454545454541
30,coex_ATT,39,24,0.5007605388961323
31,coex_TNV,21,23,0.3900338791643141
32,coex_SPL,35,19,0.08571428571428585
33,coex_LCL,26,13,0.16702702702702732
34,coex_CLS,39,25,0.535332829862984
35,coex_EMC,39,30,0.3135174494200861
36,coex_CLT,42,25,0.16233766233766245
37,coex_core,43,32,0.5911531007751938
38,coex_WBL,35,27,0.15793650793650782
39,co-essential,13,11,1.1615384615384614
40,GOBP,23,19,1.186111111111111
41,ppi,50,49,0.18278911564625866
42,reactome_copathway,16,25,0.870843989769821
43,MP,17,15,2.190524193548387
44,HP,26,17,0.97177207197727
45,GI_net,21,21,0.2940476190476189
46,gene_gene_on_CbG_name_mapped,8,12,0.2749999999999999
47,gene_gene_on_GcG_name_mapped,38,28,-0.0021645021645022577
48,GOMF,3,6,
