,Layer,Status_epilepticus nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,39,42,0.3533521303258147
1,coex_BST,29,34,0.46405433646812955
2,coex_OVR,23,35,0.30354294827979045
3,coex_LNG,32,41,0.37149181423321065
4,coex_ITI,32,39,0.29635021668472383
5,coex_VGN,27,38,0.3861336032388665
6,coex_HRV,26,14,0.23159340659340666
7,coex_MSG,36,37,0.21792854498333947
8,coex_ADV,22,35,0.2706197311460472
9,coex_EMS,23,36,0.46350200605911707
10,coex_SMU,25,36,0.1406193078324227
11,coex_ARG,25,38,0.13688455008488942
12,coex_TST,33,45,0.10388500388500388
13,coex_PIT,38,41,0.5151118766350891
14,coex_LVR,35,34,0.2627999025697234
15,coex_THY,32,34,0.5956160873440286
16,coex_PNC,25,36,0.20953551912568313
17,coex_ATC,27,38,0.54460938671465
18,coex_BRO,37,46,0.43044294294294305
19,coex_SKN,26,36,0.388957816377171
20,coex_ADS,28,31,0.8487145282561244
21,coex_GEJ,24,36,0.36315743643329856
22,coex_BRB,31,25,0.4038018433179724
23,coex_UTR,21,33,-0.012106918238993458
24,coex_STM,34,38,0.2784657722738215
25,coex_HRA,30,35,0.5835164835164832
26,coex_PRS,20,33,0.09416022573917315
27,coex_ATA,28,36,0.5173611111111112
28,coex_FIB,20,32,0.07307692307692282
29,coex_BRC,37,40,0.3925675675675677
30,coex_ATT,26,36,0.4488990294075039
31,coex_TNV,28,22,0.9359284332688587
32,coex_SPL,24,36,0.026388888888889017
33,coex_LCL,17,25,0.08147058823529418
34,coex_CLS,28,38,0.3741604010025066
35,coex_EMC,25,36,0.07916666666666661
36,coex_CLT,28,36,0.3464781746031744
37,coex_core,38,39,0.6782321187584344
38,coex_WBL,34,30,0.5877450980392158
39,co-essential,9,7,-0.6648809523809525
40,GOBP,14,19,0.09492753623188399
41,ppi,50,49,0.15980622552051127
42,reactome_copathway,19,12,0.9407434670592565
43,MP,12,11,1.4500000000000002
44,HP,18,27,-0.12037037037037046
45,GI_net,20,16,-0.08823529411764719
46,gene_gene_on_CbG_name_mapped,21,8,0.4520730706075533
47,gene_gene_on_GcG_name_mapped,32,41,-0.04229646169701118
48,GOMF,4,8,
