,Layer,Joint_hemorrhage nodes,Metrorrhagia nodes,sAB
0,coex_KDN,38,48,0.5622577519379846
1,coex_BST,17,40,0.918152680652681
2,coex_OVR,26,41,0.6581305480104167
3,coex_LNG,33,46,0.6084413201914578
4,coex_ITI,25,47,0.489290780141844
5,coex_VGN,30,45,0.2766666666666666
6,coex_HRV,21,28,0.5105116514690984
7,coex_MSG,37,47,0.3553629617459404
8,coex_ADV,23,37,0.7993145319232275
9,coex_EMS,21,44,0.5004245754245755
10,coex_SMU,27,42,0.8338509316770186
11,coex_ARG,21,41,0.7965213914434228
12,coex_TST,30,48,0.35608974358974366
13,coex_PIT,27,46,0.16936083240431077
14,coex_LVR,40,38,0.768927125506073
15,coex_THY,26,38,0.9758982793522266
16,coex_PNC,29,42,0.611604911829799
17,coex_ATC,31,44,0.40880254154447715
18,coex_BRO,27,45,0.3565466875326031
19,coex_SKN,30,44,0.7063882063882065
20,coex_ADS,31,34,0.5657838465298144
21,coex_GEJ,20,43,0.9616219844434792
22,coex_BRB,20,28,0.36250000000000004
23,coex_UTR,9,36,0.8579545454545454
24,coex_STM,30,43,0.5311723478814909
25,coex_HRA,18,42,0.3753968253968254
26,coex_PRS,21,45,0.27628822790113094
27,coex_ATA,31,42,0.770305957115502
28,coex_FIB,13,42,0.18515044124800228
29,coex_BRC,17,40,0.4614164086687307
30,coex_ATT,30,41,1.0390243902439025
31,coex_TNV,26,21,0.7143271221532088
32,coex_SPL,35,41,0.4905648267008984
33,coex_LCL,8,39,0.027316933638443786
34,coex_CLS,20,41,0.3553701326486949
35,coex_EMC,32,41,0.21808442116111304
36,coex_CLT,27,44,0.7076624925462136
37,coex_core,31,46,0.5167483288100398
38,coex_WBL,31,44,0.5298093841642229
39,co-essential,0,24,
40,GOBP,29,14,0.13888888888888884
41,ppi,49,50,0.4839847454133168
42,reactome_copathway,21,17,1.505952380952381
43,MP,22,9,2.2962962962962967
44,HP,24,18,0.6111111111111109
45,GI_net,8,33,0.20000000000000018
46,gene_gene_on_CbG_name_mapped,16,7,0.331327639751553
47,gene_gene_on_GcG_name_mapped,33,34,-0.016701253092824553
48,GOMF,7,2,
