,Layer,Sinusitis nodes,Goiter nodes,sAB
0,coex_KDN,41,35,0.24559523809523798
1,coex_BST,21,21,0.5476190476190474
2,coex_OVR,33,29,0.5712531797625777
3,coex_LNG,43,26,0.5881371318719464
4,coex_ITI,39,27,0.12678062678062685
5,coex_VGN,31,25,0.6260599078341014
6,coex_HRV,28,10,0.392063492063492
7,coex_MSG,40,31,0.46944570649704653
8,coex_ADV,31,16,0.7380742913000979
9,coex_EMS,27,14,0.4769647696476964
10,coex_SMU,32,14,0.15077110389610393
11,coex_ARG,28,21,0.44668186423505585
12,coex_TST,38,18,-0.03383458646616533
13,coex_PIT,33,26,0.13325234087945947
14,coex_LVR,35,19,0.2675824175824175
15,coex_THY,37,27,1.3009728478478477
16,coex_PNC,34,20,0.19498910675381298
17,coex_ATC,38,20,0.5362256993835941
18,coex_BRO,36,21,0.19259259259259287
19,coex_SKN,33,20,0.49032976827094465
20,coex_ADS,37,13,1.2203127841425712
21,coex_GEJ,30,22,0.6426012411234088
22,coex_BRB,28,15,0.03383458646616555
23,coex_UTR,23,19,0.531135531135531
24,coex_STM,37,23,0.5200744222483351
25,coex_HRA,23,15,0.2326371826371827
26,coex_PRS,32,18,0.3488888888888888
27,coex_ATA,35,22,0.6662337662337665
28,coex_FIB,20,23,-0.21627906976744193
29,coex_BRC,25,22,0.11696969696969672
30,coex_ATT,35,21,0.49404761904761907
31,coex_TNV,22,13,1.1025641025641026
32,coex_SPL,37,24,0.24350169841973135
33,coex_LCL,21,22,0.15008974765072347
34,coex_CLS,29,21,0.17494252873563232
35,coex_EMC,36,18,0.7037037037037039
36,coex_CLT,35,23,0.39982949701619797
37,coex_core,40,30,0.9982142857142859
38,coex_WBL,37,17,-0.10280869104398516
39,co-essential,4,9,0.833333333333333
40,GOBP,18,20,1.4790322580645157
41,ppi,49,41,0.347679884962115
42,reactome_copathway,19,7,-0.09502923976608191
43,MP,17,14,1.548609098811939
44,HP,28,38,0.7867331617331619
45,GI_net,19,16,0.21480263157894752
46,gene_gene_on_CbG_name_mapped,11,11,0.18181818181818188
47,gene_gene_on_GcG_name_mapped,28,21,-0.011054421768707412
48,GOMF,1,2,
