,Layer,Urinary_bladder_inflammation nodes,Osteomyelitis nodes,sAB
0,coex_KDN,34,42,0.20272727272727264
1,coex_BST,21,27,0.582843513076071
2,coex_OVR,25,29,0.24275862068965548
3,coex_LNG,32,41,0.7770161290322579
4,coex_ITI,32,39,0.29338773022751896
5,coex_VGN,27,31,0.21505376344086047
6,coex_HRV,29,26,0.22928923293455306
7,coex_MSG,33,39,0.14491064491064476
8,coex_ADV,23,30,0.34463768115942006
9,coex_EMS,17,28,0.14838935574229684
10,coex_SMU,20,26,0.4581939799331103
11,coex_ARG,22,32,0.09138655462184841
12,coex_TST,30,31,-0.19635113696456896
13,coex_PIT,34,29,0.2050210888953281
14,coex_LVR,26,33,0.16500686813186793
15,coex_THY,21,33,0.295815295815296
16,coex_PNC,25,28,0.2600404312668463
17,coex_ATC,26,37,0.201069201069201
18,coex_BRO,34,31,0.18209750401401248
19,coex_SKN,24,29,0.27632783882783896
20,coex_ADS,26,31,0.3325497366244399
21,coex_GEJ,22,31,0.23417366946778717
22,coex_BRB,29,26,0.19070412346274423
23,coex_UTR,14,24,1.1260587238848108
24,coex_STM,25,31,0.21785714285714275
25,coex_HRA,24,26,0.5112179487179489
26,coex_PRS,20,24,0.4840881272949815
27,coex_ATA,25,30,0.2875757575757576
28,coex_FIB,20,18,0.4548245614035087
29,coex_BRC,31,24,0.40145059849868137
30,coex_ATT,21,27,0.3312289562289563
31,coex_TNV,21,23,0.2783267457180503
32,coex_SPL,23,36,0.6499426840252187
33,coex_LCL,15,22,-0.0032467532467532756
34,coex_CLS,23,37,0.30224363119099973
35,coex_EMC,24,33,0.1117218379446645
36,coex_CLT,25,38,0.46127819548872173
37,coex_core,33,42,0.30346320346320343
38,coex_WBL,26,39,0.3161690283400811
39,co-essential,10,5,0.21666666666666634
40,GOBP,4,25,1.6592592592592599
41,ppi,50,50,0.27
42,reactome_copathway,26,18,0.5340277777777778
43,MP,9,12,0.6607142857142856
44,HP,16,36,0.45165598290598274
45,GI_net,19,18,0.32274379642800666
46,gene_gene_on_CbG_name_mapped,17,14,0.024532393602602287
47,gene_gene_on_GcG_name_mapped,33,28,-0.14563373784685263
48,GOMF,3,8,
