,Layer,Lymphangiomyomatosis nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,44,41,0.03998865570051047
1,coex_BST,28,32,0.19412076271186463
2,coex_OVR,30,35,0.39766009852216744
3,coex_LNG,31,41,0.5947307456945539
4,coex_ITI,38,36,0.22370396712501983
5,coex_VGN,36,42,0.4001831501831501
6,coex_HRV,30,15,0.3555555555555556
7,coex_MSG,41,41,0.10975609756097549
8,coex_ADV,19,36,0.5206937799043061
9,coex_EMS,33,40,0.8293512043512046
10,coex_SMU,33,33,0.18181818181818166
11,coex_ARG,29,35,0.43015873015872996
12,coex_TST,41,43,0.45234718958485254
13,coex_PIT,39,35,0.30099015143492514
14,coex_LVR,39,34,0.516441455401971
15,coex_THY,37,32,0.8954908733360227
16,coex_PNC,35,33,0.3933664374840844
17,coex_ATC,32,39,0.6668552036199094
18,coex_BRO,30,34,0.21219336219336205
19,coex_SKN,34,41,0.6165805834528935
20,coex_ADS,34,32,1.1893382352941178
21,coex_GEJ,33,42,1.0914287036608508
22,coex_BRB,24,12,0.4950980392156863
23,coex_UTR,25,41,0.29546093427035935
24,coex_STM,39,36,0.4730341880341882
25,coex_HRA,31,34,0.6723471026127572
26,coex_PRS,29,35,0.5294796798029555
27,coex_ATA,32,30,1.0027428467286312
28,coex_FIB,22,33,-0.0485810485810485
29,coex_BRC,33,34,0.26664139197062786
30,coex_ATT,34,35,0.6983870967741934
31,coex_TNV,25,21,0.9851103368176539
32,coex_SPL,29,34,-0.09574519462957598
33,coex_LCL,21,31,0.057662767340186605
34,coex_CLS,36,36,0.38208168642951224
35,coex_EMC,33,38,0.5047407120743033
36,coex_CLT,32,38,0.436924696435566
37,coex_core,41,41,0.9146341463414633
38,coex_WBL,32,32,0.5625
39,co-essential,12,20,0.1416666666666666
40,GOBP,11,17,0.8600000000000003
41,ppi,50,49,0.22199134199134196
42,reactome_copathway,24,22,0.37743506493506507
43,MP,10,10,1.1964285714285712
44,HP,23,23,0.32608695652173925
45,GI_net,26,27,0.12205128205128224
46,gene_gene_on_CbG_name_mapped,16,11,0.018623737373737237
47,gene_gene_on_GcG_name_mapped,38,36,0.06559190769717071
48,GOMF,4,3,
