,Layer,Migraine nodes,Nasal_congestion nodes,sAB
0,coex_KDN,39,31,0.28095238095238084
1,coex_BST,26,19,0.18223443223443203
2,coex_OVR,29,23,0.444066428324299
3,coex_LNG,28,26,0.5473982690963819
4,coex_ITI,33,28,0.19545454545454555
5,coex_VGN,34,25,0.23242273180458617
6,coex_HRV,22,15,0.564086814086814
7,coex_MSG,35,26,0.344766708701135
8,coex_ADV,30,21,0.22885154061624657
9,coex_EMS,25,23,0.39205533596837894
10,coex_SMU,27,20,-0.0936170212765961
11,coex_ARG,26,22,0.8037420718816071
12,coex_TST,37,26,0.25414975414975416
13,coex_PIT,33,28,0.25382336242991976
14,coex_LVR,27,22,0.3907269978698551
15,coex_THY,28,22,0.5405844155844157
16,coex_PNC,25,23,0.52981884057971
17,coex_ATC,34,26,0.5611613876319756
18,coex_BRO,39,24,0.11881868131868112
19,coex_SKN,29,27,0.0879629629629628
20,coex_ADS,29,21,0.3292927515833921
21,coex_GEJ,25,24,0.6709353741496602
22,coex_BRB,31,14,0.08986175115207384
23,coex_UTR,25,21,0.9388888888888891
24,coex_STM,34,25,0.6271086739780656
25,coex_HRA,27,22,0.18977186834329673
26,coex_PRS,28,22,0.02543290043290014
27,coex_ATA,30,21,0.4343137254901963
28,coex_FIB,19,19,-0.1315789473684208
29,coex_BRC,33,19,0.16583854741749482
30,coex_ATT,32,21,0.5172515656386625
31,coex_TNV,24,13,0.47184684684684663
32,coex_SPL,27,26,0.3567300972961349
33,coex_LCL,9,22,-0.10952380952380913
34,coex_CLS,28,21,0.32568027210884365
35,coex_EMC,27,28,0.3825276575276575
36,coex_CLT,29,26,0.3689140099761441
37,coex_core,34,28,0.4484848484848485
38,coex_WBL,15,27,0.30328330206378995
39,co-essential,3,3,-1.1
40,GOBP,16,23,1.7907196969696964
41,ppi,50,49,0.44592042877757176
42,reactome_copathway,17,14,1.2262931034482758
43,MP,16,25,3.405972850678733
44,HP,26,15,0.903846153846154
45,GI_net,16,24,0.5278706800445931
46,gene_gene_on_CbG_name_mapped,11,10,-0.06060606060606055
47,gene_gene_on_GcG_name_mapped,39,28,0.10669864960909736
48,GOMF,4,5,
