,Layer,Status_epilepticus nodes,Absence_seizure nodes,sAB
0,coex_KDN,39,30,0.011300309597523261
1,coex_BST,29,20,0.24972487160674994
2,coex_OVR,23,19,-0.1420527482786791
3,coex_LNG,32,17,0.42602040816326525
4,coex_ITI,32,26,-0.0773375331564985
5,coex_VGN,27,20,0.101923076923077
6,coex_HRV,26,13,0.2844129554655872
7,coex_MSG,36,22,0.003526645768025194
8,coex_ADV,22,17,0.28503359385712335
9,coex_EMS,23,19,0.5275144382695869
10,coex_SMU,25,15,0.01666666666666705
11,coex_ARG,25,25,0.23908163265306115
12,coex_TST,33,30,0.17128427128427126
13,coex_PIT,38,28,0.22755753018910907
14,coex_LVR,35,22,0.0843928001822738
15,coex_THY,32,16,0.3697916666666665
16,coex_PNC,25,19,0.23354066985645927
17,coex_ATC,27,17,0.1323034264210734
18,coex_BRO,37,43,-0.029666876178503943
19,coex_SKN,26,19,0.3807303807303808
20,coex_ADS,28,16,0.36728896103896114
21,coex_GEJ,24,22,0.21320346320346317
22,coex_BRB,31,35,-0.05106828655215745
23,coex_UTR,21,16,0.12976190476190474
24,coex_STM,34,28,0.29506641366223896
25,coex_HRA,30,20,0.45999999999999974
26,coex_PRS,20,20,-0.04902159244264492
27,coex_ATA,28,18,0.2868357487922706
28,coex_FIB,20,13,-0.007051282051282026
29,coex_BRC,37,31,0.28341196984460737
30,coex_ATT,26,19,0.27250819356082534
31,coex_TNV,28,16,0.6335227272727271
32,coex_SPL,24,22,0.24678853754940677
33,coex_LCL,17,12,0.24290415466886062
34,coex_CLS,28,21,0.20787234042553226
35,coex_EMC,25,18,-0.06448412698412698
36,coex_CLT,28,21,0.07952727563589823
37,coex_core,38,23,0.41590389016018303
38,coex_WBL,34,17,0.3529411764705883
39,co-essential,9,3,1.7329545454545459
40,GOBP,14,30,0.032169890664424106
41,ppi,50,50,0.17999999999999994
42,reactome_copathway,19,12,0.8165204678362574
43,MP,12,19,1.1212475633528265
44,HP,18,16,-0.11335784313725483
45,GI_net,20,12,0.17857142857142838
46,gene_gene_on_CbG_name_mapped,21,27,0.2304894179894179
47,gene_gene_on_GcG_name_mapped,32,33,0.18234265734265742
48,GOMF,4,5,
