,Layer,Erythema_multiforme nodes,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,sAB
0,coex_KDN,44,36,-0.2647727272727274
1,coex_BST,29,21,-0.14144968332160457
2,coex_OVR,35,31,0.2796816087138665
3,coex_LNG,33,39,0.08251342183884791
4,coex_ITI,39,36,-0.1611965811965812
5,coex_VGN,32,36,0.019728535353535248
6,coex_HRV,22,25,-0.17601731601731596
7,coex_MSG,39,37,-0.18262391946602463
8,coex_ADV,28,32,0.2355654761904762
9,coex_EMS,29,29,-0.05422077922077917
10,coex_SMU,28,28,-0.1071428571428572
11,coex_ARG,36,27,0.10259429936849296
12,coex_TST,33,33,0.01515151515151536
13,coex_PIT,37,34,-0.0960550887021474
14,coex_LVR,38,35,-0.08978608493063645
15,coex_THY,31,26,-0.04229245570501927
16,coex_PNC,31,26,-0.09468460232466969
17,coex_ATC,35,36,0.3088810641627544
18,coex_BRO,36,36,0.11111111111111072
19,coex_SKN,37,33,0.29582231688209926
20,coex_ADS,25,28,0.4327493261455526
21,coex_GEJ,33,32,0.23128470386039135
22,coex_BRB,28,25,0.39404312668463604
23,coex_UTR,26,21,-0.09654352739459116
24,coex_STM,39,33,0.043317793317793285
25,coex_HRA,32,32,0.23557310946589083
26,coex_PRS,32,31,0.07835701484895052
27,coex_ATA,35,30,0.45879120879120894
28,coex_FIB,30,23,0.062236806125239186
29,coex_BRC,37,30,-0.23018690332123182
30,coex_ATT,35,30,0.073260073260073
31,coex_TNV,22,25,0.2850290135396518
32,coex_SPL,33,33,0.1212121212121211
33,coex_LCL,27,20,0.3802675585284281
34,coex_CLS,38,33,0.2067736185383242
35,coex_EMC,30,34,-0.04325980392156836
36,coex_CLT,37,30,-0.1128787878787878
37,coex_core,40,41,-0.055445353504167905
38,coex_WBL,33,32,0.058930652680652784
39,co-essential,8,10,-0.588888888888889
40,GOBP,21,17,0.008373205741626588
41,ppi,49,49,-0.0714285714285714
42,reactome_copathway,19,11,0.26013071895424833
43,MP,18,13,0.8416289592760178
44,HP,11,13,-0.4589160839160842
45,GI_net,18,18,-0.13888888888888862
46,gene_gene_on_CbG_name_mapped,12,8,-0.08333333333333348
47,gene_gene_on_GcG_name_mapped,30,32,-0.04966397849462356
48,GOMF,8,5,
