,Layer,Optic_neuritis nodes,Pleural_effusion nodes,sAB
0,coex_KDN,38,39,-0.052596526280736855
1,coex_BST,23,25,0.26956521739130457
2,coex_OVR,24,29,0.023137605725439103
3,coex_LNG,34,32,0.2617569930069932
4,coex_ITI,33,38,0.3920673920673923
5,coex_VGN,29,30,-0.01724137931034475
6,coex_HRV,14,26,0.30934065934065913
7,coex_MSG,34,37,0.30651716339371693
8,coex_ADV,27,27,0.4011449766166746
9,coex_EMS,25,26,0.05841628959276024
10,coex_SMU,28,26,0.0589641839641839
11,coex_ARG,29,29,0.5796171463140609
12,coex_TST,32,30,0.015322580645161343
13,coex_PIT,32,33,0.2443327505827506
14,coex_LVR,33,36,0.001504573904669959
15,coex_THY,28,29,0.4375060125060126
16,coex_PNC,30,28,-0.1564039408866993
17,coex_ATC,30,33,0.266633064516129
18,coex_BRO,32,34,0.1319378557874762
19,coex_SKN,27,31,0.43739932958948247
20,coex_ADS,23,30,0.4818414322250635
21,coex_GEJ,27,29,0.6666666666666665
22,coex_BRB,22,28,0.15000000000000013
23,coex_UTR,22,19,0.3626373626373627
24,coex_STM,30,33,0.2551226551226553
25,coex_HRA,28,27,0.1432132682132683
26,coex_PRS,26,27,-0.09095307208514747
27,coex_ATA,27,31,0.4221070148489505
28,coex_FIB,25,15,0.2736936936936938
29,coex_BRC,30,23,0.31348099535138063
30,coex_ATT,26,32,0.4309090909090907
31,coex_TNV,15,24,0.9736079328756677
32,coex_SPL,31,32,0.06142473118279557
33,coex_LCL,26,14,0.10285714285714298
34,coex_CLS,28,31,0.18989689916425823
35,coex_EMC,33,32,0.2935096153846155
36,coex_CLT,33,36,0.2727272727272727
37,coex_core,38,37,0.4334992887624467
38,coex_WBL,35,29,0.3475369458128079
39,co-essential,13,7,0.7832722832722832
40,GOBP,21,19,0.7458557347670252
41,ppi,50,47,0.010783066461943491
42,reactome_copathway,22,17,-0.13303571428571415
43,MP,11,17,0.9926346801346799
44,HP,17,26,0.19954224981584767
45,GI_net,19,22,-0.259998773156668
46,gene_gene_on_CbG_name_mapped,7,7,-0.2142857142857142
47,gene_gene_on_GcG_name_mapped,36,23,-0.22042086301482033
48,GOMF,10,8,-0.5
