,Layer,Urticaria nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,39,29,0.33212764247246995
1,coex_BST,16,19,0.054166666666666696
2,coex_OVR,25,21,-0.09316770186335388
3,coex_LNG,31,31,0.8245161290322578
4,coex_ITI,33,24,0.1404505582137161
5,coex_VGN,27,25,-0.022668759811617534
6,coex_HRV,20,16,0.8872844827586204
7,coex_MSG,33,26,0.25631148512504454
8,coex_ADV,28,20,0.5261904761904765
9,coex_EMS,21,22,0.18160173160173176
10,coex_SMU,21,19,0.24847374847374848
11,coex_ARG,21,22,0.4887287509238729
12,coex_TST,21,24,0.08353174603174596
13,coex_PIT,30,25,0.1327272727272728
14,coex_LVR,32,33,0.3570075757575757
15,coex_THY,24,19,0.67512077294686
16,coex_PNC,23,21,0.17692452475061193
17,coex_ATC,26,22,0.8052156177156178
18,coex_BRO,26,24,0.445204081632653
19,coex_SKN,31,18,0.04782608695652213
20,coex_ADS,28,16,0.33955103359173133
21,coex_GEJ,30,19,0.6239130434782609
22,coex_BRB,19,15,0.4152235427277873
23,coex_UTR,14,21,-0.07142857142857162
24,coex_STM,27,26,0.09612696876847826
25,coex_HRA,21,19,0.3157894736842106
26,coex_PRS,24,27,0.2765384615384616
27,coex_ATA,25,17,0.5917086834733896
28,coex_FIB,16,17,0.21875
29,coex_BRC,19,23,0.2282036613272309
30,coex_ATT,29,17,0.8532728548516442
31,coex_TNV,18,15,1.3278769841269842
32,coex_SPL,35,38,0.7007917007917008
33,coex_LCL,14,16,0.24999999999999956
34,coex_CLS,27,24,0.17307692307692335
35,coex_EMC,26,26,0.3798076923076925
36,coex_CLT,26,24,0.20250000000000012
37,coex_core,35,32,0.5905394415830849
38,coex_WBL,37,34,0.44076173360060844
39,co-essential,5,11,0.9068181818181817
40,GOBP,25,28,1.5174825174825175
41,ppi,48,50,0.23613095238095227
42,reactome_copathway,22,10,1.2655555555555555
43,MP,17,15,2.2578962619530563
44,HP,25,22,0.9895164410058026
45,GI_net,15,16,0.35185185185185164
46,gene_gene_on_CbG_name_mapped,13,15,0.281868131868132
47,gene_gene_on_GcG_name_mapped,31,32,0.09657418074756796
48,GOMF,8,2,
