,Layer,Pyelonephritis nodes,Epididymitis nodes,sAB
0,coex_KDN,42,42,-0.07142857142857117
1,coex_BST,26,29,0.00738544474393521
2,coex_OVR,32,30,0.13014061616732597
3,coex_LNG,34,35,0.19046222594609663
4,coex_ITI,35,43,-0.018442797512564946
5,coex_VGN,32,30,0.34414069619099674
6,coex_HRV,26,21,-0.08520380328890975
7,coex_MSG,35,42,0.050000000000000044
8,coex_ADV,31,38,-0.09783281733746119
9,coex_EMS,22,29,0.18436781609195396
10,coex_SMU,26,24,0.1466964712306329
11,coex_ARG,21,25,-0.27159468438538226
12,coex_TST,27,28,-0.015428090428090568
13,coex_PIT,35,33,-0.20471097529921045
14,coex_LVR,36,28,-0.07167658730158744
15,coex_THY,25,24,0.21696731421523285
16,coex_PNC,29,27,0.23563218390804597
17,coex_ATC,30,32,-0.07604166666666679
18,coex_BRO,30,31,-0.29452670544685344
19,coex_SKN,26,32,0.28320175438596484
20,coex_ADS,24,31,0.11991691104594349
21,coex_GEJ,29,36,0.43021978021978047
22,coex_BRB,21,25,-0.314782608695652
23,coex_UTR,20,20,-0.1503036437246963
24,coex_STM,30,32,-0.06608496386391671
25,coex_HRA,25,28,-0.13851851851851826
26,coex_PRS,29,28,-0.23637158029172567
27,coex_ATA,31,29,-0.04513704686118469
28,coex_FIB,20,22,-0.3867965367965367
29,coex_BRC,21,29,-0.11819376026272566
30,coex_ATT,30,26,0.3587878787878789
31,coex_TNV,24,27,0.3952012882447664
32,coex_SPL,27,23,-0.045116374308920904
33,coex_LCL,14,16,-0.2767857142857144
34,coex_CLS,33,35,0.20045891608391608
35,coex_EMC,30,28,-0.0011904761904761862
36,coex_CLT,32,33,0.06041666666666656
37,coex_core,40,44,0.12198121645796056
38,coex_WBL,29,30,-0.2764367816091955
39,co-essential,4,15,0.6309523809523814
40,GOBP,14,9,-0.419534412955465
41,ppi,50,49,-0.119750566893424
42,reactome_copathway,14,22,0.11212121212121229
43,MP,16,15,-0.7357142857142853
44,HP,13,14,-0.05631868131868134
45,GI_net,23,25,0.006086956521738962
46,gene_gene_on_CbG_name_mapped,12,10,-0.3189393939393941
47,gene_gene_on_GcG_name_mapped,32,28,0.02425595238095224
48,GOMF,4,5,
