,Layer,Episcleritis nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,48,36,0.2770061728395059
1,coex_BST,32,18,1.223557692307692
2,coex_OVR,36,29,0.8861607142857144
3,coex_LNG,42,25,0.5081845238095237
4,coex_ITI,43,34,0.7473306447314656
5,coex_VGN,40,29,0.632103528655253
6,coex_HRV,25,31,0.5286708382781313
7,coex_MSG,39,33,0.2377622377622377
8,coex_ADV,33,19,0.7542939516623726
9,coex_EMS,36,20,0.7535714285714286
10,coex_SMU,37,20,0.5201161688003793
11,coex_ARG,42,23,0.6904045230132185
12,coex_TST,40,30,0.07142857142857162
13,coex_PIT,41,33,0.3796268552366113
14,coex_LVR,40,34,0.5478573937478048
15,coex_THY,36,22,1.1733766233766234
16,coex_PNC,32,25,0.6212828947368421
17,coex_ATC,39,16,0.47321937321937324
18,coex_BRO,38,35,0.5096611391492427
19,coex_SKN,37,28,0.44097849425718305
20,coex_ADS,32,25,0.761162280701754
21,coex_GEJ,35,20,1.0628540305010894
22,coex_BRB,26,33,0.09843546284224258
23,coex_UTR,33,17,0.7106249999999998
24,coex_STM,44,35,0.8630021938845469
25,coex_HRA,32,27,0.9178451178451177
26,coex_PRS,36,23,0.6767961570593153
27,coex_ATA,40,22,0.7371334310850441
28,coex_FIB,29,16,0.690056134723336
29,coex_BRC,31,32,0.6329365079365079
30,coex_ATT,39,24,0.6909338393004458
31,coex_TNV,17,24,1.3770833333333332
32,coex_SPL,42,23,0.6390016233766234
33,coex_LCL,30,15,1.1083333333333334
34,coex_CLS,40,32,0.703501722158439
35,coex_EMC,34,27,0.8393335476267008
36,coex_CLT,38,30,0.6564707222601958
37,coex_core,46,36,0.8811594202898552
38,coex_WBL,39,27,1.2923076923076922
39,co-essential,4,5,-0.24444444444444446
40,GOBP,29,14,1.4647804302976715
41,ppi,50,50,0.19000000000000017
42,reactome_copathway,20,21,0.6520833333333331
43,MP,16,10,0.5612491373360937
44,HP,18,20,0.0017543859649122862
45,GI_net,18,13,-0.25544527157430386
46,gene_gene_on_CbG_name_mapped,6,23,0.3893053473263368
47,gene_gene_on_GcG_name_mapped,33,37,-0.18870948870948867
48,GOMF,13,3,
