,Layer,Sinusitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,41,42,-0.10721544715447129
1,coex_BST,21,18,0.8406593406593406
2,coex_OVR,33,22,-0.046980218855218636
3,coex_LNG,43,32,0.22408304778897437
4,coex_ITI,39,38,0.07766794608899885
5,coex_VGN,31,25,0.14356664637857586
6,coex_HRV,28,17,-0.13244047619047583
7,coex_MSG,40,23,0.2817177476835353
8,coex_ADV,31,26,0.5925169075074201
9,coex_EMS,27,19,0.5630561912026442
10,coex_SMU,32,19,0.03505974758324415
11,coex_ARG,28,18,0.26613181504485883
12,coex_TST,38,24,0.07686049801924177
13,coex_PIT,33,26,0.12542965509067194
14,coex_LVR,35,30,0.16349206349206336
15,coex_THY,37,29,-0.11226611226611238
16,coex_PNC,34,20,0.06998910675381276
17,coex_ATC,38,25,0.06904969485614632
18,coex_BRO,36,23,0.09753950708261683
19,coex_SKN,33,23,0.2081686429512517
20,coex_ADS,37,24,0.4909003831417622
21,coex_GEJ,30,22,0.5019704433497534
22,coex_BRB,28,18,0.15380105530584354
23,coex_UTR,23,20,0.1378446115288221
24,coex_STM,37,28,0.12434659934659953
25,coex_HRA,23,20,0.022727272727272707
26,coex_PRS,32,25,0.14363636363636356
27,coex_ATA,35,24,0.10319548872180428
28,coex_FIB,20,17,-0.20572337042925293
29,coex_BRC,25,24,0.10838652482269495
30,coex_ATT,35,26,-0.12683926243248278
31,coex_TNV,22,20,0.24274891774891794
32,coex_SPL,37,36,0.2331029659796786
33,coex_LCL,21,18,-0.030445624195624132
34,coex_CLS,29,35,0.09896710630859662
35,coex_EMC,36,25,-0.018342749529190128
36,coex_CLT,35,30,0.09361163820366847
37,coex_core,40,35,0.236863476733977
38,coex_WBL,37,32,0.029823981590285875
39,co-essential,4,4,-0.5
40,GOBP,18,20,1.2791855203619908
41,ppi,49,50,0.07137291280148417
42,reactome_copathway,19,21,0.4021929824561401
43,MP,17,19,0.6074991400068797
44,HP,28,19,0.22202447608382658
45,GI_net,19,20,0.3433499288762447
46,gene_gene_on_CbG_name_mapped,11,15,0.0011655011655011815
47,gene_gene_on_GcG_name_mapped,28,33,-0.09769533744943582
48,GOMF,1,4,
