,Layer,Hepatic_encephalopathy nodes,Conjunctivitis nodes,sAB
0,coex_KDN,42,39,0.05209605209605206
1,coex_BST,22,30,0.4724242424242422
2,coex_OVR,23,37,0.04274889582235897
3,coex_LNG,29,39,0.17908410048369516
4,coex_ITI,33,39,0.06594794094794088
5,coex_VGN,23,35,0.20671936758893272
6,coex_HRV,20,24,0.12916666666666643
7,coex_MSG,28,41,0.10923218704236737
8,coex_ADV,33,30,0.3944444444444448
9,coex_EMS,25,34,-0.1262013958125623
10,coex_SMU,23,28,0.20944464742418667
11,coex_ARG,25,33,-0.013955342902711276
12,coex_TST,27,33,-0.07491582491582505
13,coex_PIT,30,35,0.08772893772893786
14,coex_LVR,31,35,0.125904203323558
15,coex_THY,25,35,0.13983050847457612
16,coex_PNC,23,33,0.30159514398644793
17,coex_ATC,25,35,0.06428571428571406
18,coex_BRO,30,33,0.031890331890331636
19,coex_SKN,27,35,-0.00587632706276775
20,coex_ADS,23,33,0.345826275174101
21,coex_GEJ,27,36,0.21611111111111114
22,coex_BRB,24,23,-0.0869565217391306
23,coex_UTR,18,26,0.2765705566663157
24,coex_STM,27,32,0.08796296296296302
25,coex_HRA,30,30,0.058333333333333126
26,coex_PRS,19,35,0.3557530704589533
27,coex_ATA,22,35,0.07957393483709252
28,coex_FIB,20,28,-0.27380952380952395
29,coex_BRC,29,26,-0.002539912917271181
30,coex_ATT,24,35,-0.00822829131652636
31,coex_TNV,21,24,0.24662698412698436
32,coex_SPL,34,37,0.25879441993775054
33,coex_LCL,15,27,-0.00846560846560851
34,coex_CLS,28,34,0.2932247580270726
35,coex_EMC,22,36,0.11894810170672221
36,coex_CLT,27,37,0.13713713713713704
37,coex_core,36,40,0.14049295774647885
38,coex_WBL,31,37,0.14883245064997608
39,co-essential,7,8,0.46011904761904754
40,GOBP,18,20,1.5425925925925927
41,ppi,49,49,0.26530612244897966
42,reactome_copathway,23,25,0.45733652312599693
43,MP,15,20,0.8276785714285717
44,HP,27,33,0.46599326599326574
45,GI_net,23,24,0.028416750926862466
46,gene_gene_on_CbG_name_mapped,31,14,0.5037634408602152
47,gene_gene_on_GcG_name_mapped,31,34,-0.10064954021310757
48,GOMF,9,4,0.0
