,Layer,Ewing_sarcoma nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,43,43,-0.282359455410071
1,coex_BST,35,32,0.07318810222036021
2,coex_OVR,37,36,-0.344332346044675
3,coex_LNG,34,35,0.07328583607355998
4,coex_ITI,41,41,-0.1707317073170731
5,coex_VGN,38,37,-0.23926505452821245
6,coex_HRV,21,20,0.10137362637362646
7,coex_MSG,38,43,-0.04228055064448366
8,coex_ADV,29,29,-0.22413793103448243
9,coex_EMS,32,35,-0.23993818681318646
10,coex_SMU,37,35,-0.11207243460764604
11,coex_ARG,34,31,-0.1733031674208143
12,coex_TST,43,44,-0.3321000704721635
13,coex_PIT,38,36,-0.2478534872901068
14,coex_LVR,38,36,-0.19157973763236913
15,coex_THY,43,31,-0.025329395729214
16,coex_PNC,38,30,-0.15908152734778147
17,coex_ATC,39,37,-0.16888244519823448
18,coex_BRO,37,32,0.07567401960784359
19,coex_SKN,37,39,-0.1539646934383776
20,coex_ADS,31,24,1.0802611367127493
21,coex_GEJ,31,33,-0.2665719696969697
22,coex_BRB,24,17,-0.4741403807899971
23,coex_UTR,30,30,-0.016666666666666607
24,coex_STM,40,39,-0.12719084712755602
25,coex_HRA,35,35,0.04285714285714293
26,coex_PRS,35,35,0.014285714285714235
27,coex_ATA,34,28,-0.2403447855750489
28,coex_FIB,33,35,-0.13466466131907318
29,coex_BRC,38,37,-0.09607633949739203
30,coex_ATT,37,35,-0.12767857142857109
31,coex_TNV,16,20,-0.18266253869969074
32,coex_SPL,36,35,-0.04399731723675404
33,coex_LCL,30,32,0.15632697044334964
34,coex_CLS,37,38,-0.4275628259838786
35,coex_EMC,35,36,-0.2113961547060137
36,coex_CLT,34,41,-0.14672100037953695
37,coex_core,42,42,-0.09561941144368413
38,coex_WBL,37,36,0.028590234069686193
39,co-essential,12,20,0.24469696969696964
40,GOBP,10,18,0.2884729649435531
41,ppi,50,50,-0.05999999999999983
42,reactome_copathway,20,19,-0.1431966726084375
43,MP,10,14,0.8987179487179486
44,HP,23,26,-0.3472826086956522
45,GI_net,31,29,0.049647756766777906
46,gene_gene_on_CbG_name_mapped,8,9,-0.42851307189542465
47,gene_gene_on_GcG_name_mapped,28,32,-0.18764880952380936
48,GOMF,5,2,
