,Layer,Pulmonary_fibrosis nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,42,31,0.041942162559273743
1,coex_BST,23,21,0.33455377574370715
2,coex_OVR,30,24,0.29723758403816936
3,coex_LNG,36,25,0.37123629112662027
4,coex_ITI,35,27,0.02280252602833266
5,coex_VGN,29,28,0.1525725232621784
6,coex_HRV,32,40,0.47152777777777777
7,coex_MSG,39,44,0.32595065576993276
8,coex_ADV,31,20,0.1199873497786208
9,coex_EMS,28,34,0.6445078031212486
10,coex_SMU,25,36,0.765277777777778
11,coex_ARG,21,21,0.2246515679442509
12,coex_TST,34,30,-0.09112554112554117
13,coex_PIT,33,26,0.17071452254641928
14,coex_LVR,35,18,0.13174603174603172
15,coex_THY,28,31,0.6423334729786343
16,coex_PNC,29,16,0.03887147335423213
17,coex_ATC,30,38,0.3121710526315793
18,coex_BRO,29,27,0.13647144681627443
19,coex_SKN,28,24,0.1538671023965139
20,coex_ADS,29,21,0.4720238095238094
21,coex_GEJ,34,24,0.4814814814814814
22,coex_BRB,23,21,0.06394692264257484
23,coex_UTR,17,22,0.03472507884272602
24,coex_STM,34,29,0.04532502656234905
25,coex_HRA,31,43,0.6187171792948236
26,coex_PRS,30,43,0.44771809149470476
27,coex_ATA,28,19,0.22260361047546384
28,coex_FIB,26,17,0.3194254445964435
29,coex_BRC,27,30,0.20726495726495742
30,coex_ATT,26,29,0.22810260172695962
31,coex_TNV,26,26,0.3041144901610018
32,coex_SPL,23,23,0.08695652173913038
33,coex_LCL,17,24,0.17708333333333348
34,coex_CLS,29,28,0.3064170220969178
35,coex_EMC,33,19,0.3726671589688504
36,coex_CLT,34,24,0.1826156299840509
37,coex_core,37,41,0.997562710335496
38,coex_WBL,27,34,0.566129516940876
39,co-essential,14,11,0.027272727272727337
40,GOBP,9,23,1.4996641289744739
41,ppi,50,49,0.24432488146773856
42,reactome_copathway,27,17,0.848235294117647
43,MP,13,25,0.8351515151515154
44,HP,20,38,0.7695553539019964
45,GI_net,21,17,0.13312693498452033
46,gene_gene_on_CbG_name_mapped,14,11,0.44818181818181824
47,gene_gene_on_GcG_name_mapped,31,27,-0.13282247765006394
48,GOMF,3,2,
