,Layer,Diabetes_insipidus nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,33,35,0.4660427807486631
1,coex_BST,22,20,0.7232854864433811
2,coex_OVR,24,20,0.16515151515151505
3,coex_LNG,33,28,0.686026936026936
4,coex_ITI,32,25,0.11509868421052638
5,coex_VGN,29,32,0.017956504702194342
6,coex_HRV,20,13,0.9575062034739454
7,coex_MSG,31,27,0.20248836155399008
8,coex_ADV,26,28,0.6902638424377556
9,coex_EMS,24,19,0.19940476190476186
10,coex_SMU,22,16,0.12200956937799079
11,coex_ARG,22,17,0.16680378445084276
12,coex_TST,34,27,0.032474374084788815
13,coex_PIT,31,21,0.11633459835547155
14,coex_LVR,25,38,0.8244003451251076
15,coex_THY,29,24,0.7134413562449544
16,coex_PNC,20,27,0.4677091278921943
17,coex_ATC,31,21,0.05083894600023653
18,coex_BRO,31,18,-0.276290703881644
19,coex_SKN,25,28,0.27214285714285724
20,coex_ADS,19,18,0.6492808598071753
21,coex_GEJ,23,22,0.6365800865800866
22,coex_BRB,16,15,-0.2333333333333334
23,coex_UTR,21,14,0.24285714285714288
24,coex_STM,28,31,0.4075704912911038
25,coex_HRA,27,27,0.5162037037037037
26,coex_PRS,25,24,0.4494387755102043
27,coex_ATA,25,15,0.22980769230769216
28,coex_FIB,21,12,0.25703463203463195
29,coex_BRC,24,21,0.028654485049834033
30,coex_ATT,28,20,0.4599378881987577
31,coex_TNV,13,18,0.22594430658946818
32,coex_SPL,28,35,0.2753968253968253
33,coex_LCL,17,5,0.15266106442577065
34,coex_CLS,29,27,0.3288151521723417
35,coex_EMC,30,23,0.3235438884331421
36,coex_CLT,30,27,0.1324175824175826
37,coex_core,33,28,0.4212962962962963
38,coex_WBL,24,20,1.415530303030303
39,co-essential,6,6,1.6666666666666665
40,GOBP,12,29,0.8055555555555554
41,ppi,45,50,0.37175438596491217
42,reactome_copathway,15,21,1.0619047619047617
43,MP,14,13,1.9159698996655514
44,HP,27,24,0.8386437908496731
45,GI_net,18,16,0.2965686274509802
46,gene_gene_on_CbG_name_mapped,7,23,0.5674948240165629
47,gene_gene_on_GcG_name_mapped,31,36,0.18595864762210468
48,GOMF,3,8,
