,Layer,Periodontitis nodes,Keratitis nodes,sAB
0,coex_KDN,36,39,-0.21512721512721522
1,coex_BST,19,29,-0.2840751610010601
2,coex_OVR,20,41,-0.04583333333333339
3,coex_LNG,28,35,0.3975231258259222
4,coex_ITI,28,35,-0.12661064425770308
5,coex_VGN,21,39,0.0490649701176018
6,coex_HRV,25,20,0.15238095238095228
7,coex_MSG,30,45,0.03555555555555534
8,coex_ADV,27,30,-0.10659340659340644
9,coex_EMS,19,31,-0.27203919774269814
10,coex_SMU,17,25,-0.10499999999999998
11,coex_ARG,17,31,-0.06273719165085367
12,coex_TST,21,35,-0.08452380952380967
13,coex_PIT,24,37,-0.0527063949195099
14,coex_LVR,30,32,0.16464987280949694
15,coex_THY,17,24,0.028186274509804043
16,coex_PNC,24,32,0.4861166007905138
17,coex_ATC,27,30,0.18479532163742673
18,coex_BRO,21,35,0.071957671957672
19,coex_SKN,17,37,0.20377685377685362
20,coex_ADS,20,31,0.4166666666666665
21,coex_GEJ,26,40,0.11068910256410236
22,coex_BRB,20,24,-0.036526794742163915
23,coex_UTR,12,22,0.4296187683284458
24,coex_STM,27,33,-0.22558922558922578
25,coex_HRA,25,31,0.335576923076923
26,coex_PRS,18,32,-0.2566544117647056
27,coex_ATA,19,29,0.18030458454983012
28,coex_FIB,14,21,0.15238095238095228
29,coex_BRC,16,27,-0.2477659345391907
30,coex_ATT,18,27,0.37927350427350426
31,coex_TNV,18,21,0.16224384490638366
32,coex_SPL,26,28,0.2586487586487587
33,coex_LCL,11,21,0.4333333333333331
34,coex_CLS,18,30,-0.13140096618357466
35,coex_EMC,23,34,-0.08036503138804907
36,coex_CLT,18,33,0.01881850419084463
37,coex_core,31,43,0.262266301869585
38,coex_WBL,28,30,0.3603448275862069
39,co-essential,10,6,0.07500000000000018
40,GOBP,17,20,1.4230019493177393
41,ppi,49,50,0.16218099360956506
42,reactome_copathway,29,20,0.4473884178531433
43,MP,15,16,1.1171428571428572
44,HP,13,33,0.36718354109658446
45,GI_net,21,25,-0.13759627727856216
46,gene_gene_on_CbG_name_mapped,25,6,-0.15075268817204313
47,gene_gene_on_GcG_name_mapped,30,30,-0.016666666666666607
48,GOMF,2,2,
