,Layer,Epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,34,39,0.1214281286803447
1,coex_BST,26,29,0.1962864721485409
2,coex_OVR,18,30,0.09166666666666679
3,coex_LNG,25,25,0.2808333333333335
4,coex_ITI,30,42,0.03412698412698423
5,coex_VGN,34,37,0.11022414294990934
6,coex_HRV,10,28,-0.13966165413533815
7,coex_MSG,28,40,0.00021008403361344463
8,coex_ADV,22,29,0.48621611654066
9,coex_EMS,26,31,0.27161172161172153
10,coex_SMU,22,21,0.07412161481928936
11,coex_ARG,34,28,0.03371509894280278
12,coex_TST,35,34,0.23114724150529775
13,coex_PIT,42,35,0.09461152882205526
14,coex_LVR,24,30,0.14537037037037037
15,coex_THY,22,32,0.450915404040404
16,coex_PNC,27,26,-0.09505187335375997
17,coex_ATC,28,33,0.07613015399900624
18,coex_BRO,49,35,0.15981784279977052
19,coex_SKN,27,34,0.3404712762297901
20,coex_ADS,18,28,0.9032617111885404
21,coex_GEJ,29,32,0.33189140196926625
22,coex_BRB,35,29,0.30522553849125833
23,coex_UTR,24,16,-0.07456140350877183
24,coex_STM,31,38,0.3160232277749071
25,coex_HRA,27,27,0.35185185185185186
26,coex_PRS,25,34,-0.10933200398803589
27,coex_ATA,21,32,0.7408468104222821
28,coex_FIB,19,17,-0.020300751879699153
29,coex_BRC,46,29,0.2644277176480252
30,coex_ATT,24,33,0.5456133540372674
31,coex_TNV,21,24,0.11890243902439046
32,coex_SPL,21,26,0.18449458343075342
33,coex_LCL,16,15,0.37222222222222223
34,coex_CLS,28,39,0.14709249084249088
35,coex_EMC,24,34,0.05622009569377995
36,coex_CLT,30,38,0.18250773993808056
37,coex_core,28,38,0.25264866712235134
38,coex_WBL,23,18,1.0403852951572992
39,co-essential,5,3,-0.04166666666666652
40,GOBP,28,26,0.5107570806100217
41,ppi,50,45,0.07573099415204676
42,reactome_copathway,13,6,0.632591093117409
43,MP,13,17,0.25058275058275026
44,HP,31,18,0.13256162680125794
45,GI_net,17,11,-0.05800082270670481
46,gene_gene_on_CbG_name_mapped,15,9,-0.07499999999999996
47,gene_gene_on_GcG_name_mapped,38,32,0.16759868421052637
48,GOMF,4,8,
