,Layer,Hypertrophic_cardiomyopathy nodes,Renal_tubular_acidosis nodes,sAB
0,coex_KDN,31,41,0.2765120967741934
1,coex_BST,21,29,0.2507217321571771
2,coex_OVR,21,31,0.5196927803379414
3,coex_LNG,22,33,0.36090909090909085
4,coex_ITI,25,30,0.30636363636363617
5,coex_VGN,25,28,0.3003061224489798
6,coex_HRV,37,18,0.9872065943494515
7,coex_MSG,46,34,0.4143222506393862
8,coex_ADV,15,29,0.48152077807250215
9,coex_EMS,35,28,0.2917211328976035
10,coex_SMU,37,28,0.7442901692901693
11,coex_ARG,19,33,0.1498484262125903
12,coex_TST,30,33,-0.010028860028859832
13,coex_PIT,21,33,0.12412587412587395
14,coex_LVR,15,29,-0.03108854980175413
15,coex_THY,34,26,0.881459871397952
16,coex_PNC,15,26,0.04697802197802181
17,coex_ATC,40,27,1.195301271420674
18,coex_BRO,22,28,0.019545454545454533
19,coex_SKN,19,30,0.329341210168278
20,coex_ADS,19,19,0.6145510835913313
21,coex_GEJ,22,31,0.4130620723362659
22,coex_BRB,14,15,-0.3611658456486042
23,coex_UTR,16,24,0.10416666666666652
24,coex_STM,26,29,0.42982082978829905
25,coex_HRA,40,31,0.359511376121872
26,coex_PRS,44,28,0.7391774891774894
27,coex_ATA,17,29,0.2510504201680672
28,coex_FIB,14,26,-0.25384615384615383
29,coex_BRC,27,30,0.22555555555555573
30,coex_ATT,31,29,0.3696423922561709
31,coex_TNV,26,11,0.7102272727272725
32,coex_SPL,18,32,0.5830555555555554
33,coex_LCL,19,25,0.08253968253968269
34,coex_CLS,25,28,0.5880952380952378
35,coex_EMC,21,29,0.3071428571428574
36,coex_CLT,19,30,0.3379520229144286
37,coex_core,43,38,1.2215750644216175
38,coex_WBL,37,36,1.5960210210210213
39,co-essential,8,18,-0.5074786324786325
40,GOBP,31,37,2.5448442238764817
41,ppi,49,49,0.3163265306122449
42,reactome_copathway,7,15,1.2337858220211162
43,MP,28,21,2.573112073112073
44,HP,35,36,0.8339090096132349
45,GI_net,11,18,-0.17607105538140022
46,gene_gene_on_CbG_name_mapped,8,17,0.3004411764705883
47,gene_gene_on_GcG_name_mapped,32,31,0.04510688684075781
48,GOMF,4,13,
