,Layer,Cholecystitis nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,37,35,0.3625375375375375
1,coex_BST,37,20,0.66981981981982
2,coex_OVR,33,20,0.40664665523156107
3,coex_LNG,37,28,0.4958395895895895
4,coex_ITI,39,25,0.06921474358974367
5,coex_VGN,33,32,0.11764852472089293
6,coex_HRV,22,13,0.5790709290709288
7,coex_MSG,40,27,-0.03865395245992276
8,coex_ADV,29,28,0.5267808272734382
9,coex_EMS,30,19,0.012499999999999734
10,coex_SMU,31,16,0.18205216197666418
11,coex_ARG,28,17,0.3031979458450045
12,coex_TST,36,27,0.030423280423280463
13,coex_PIT,36,21,-0.0014150943396225024
14,coex_LVR,42,38,0.3950814536340852
15,coex_THY,32,24,0.5695775691699607
16,coex_PNC,36,27,0.21372247823860713
17,coex_ATC,34,21,0.35697109032292174
18,coex_BRO,37,18,-0.13669329707065536
19,coex_SKN,36,28,0.22539682539682548
20,coex_ADS,29,18,0.8204532485530285
21,coex_GEJ,34,22,0.642760180995475
22,coex_BRB,23,15,-0.027122153209110156
23,coex_UTR,26,14,-0.037637362637362504
24,coex_STM,34,31,0.20534228579769365
25,coex_HRA,36,27,0.2847883597883596
26,coex_PRS,36,24,0.17638888888888848
27,coex_ATA,34,15,0.27918313570487463
28,coex_FIB,29,12,0.04341883936080748
29,coex_BRC,34,21,0.31126790338777033
30,coex_ATT,34,20,0.2823529411764709
31,coex_TNV,23,18,-0.21641414141414117
32,coex_SPL,34,35,0.4048167092924124
33,coex_LCL,23,5,0.08856682769726243
34,coex_CLS,37,27,0.19445675183380118
35,coex_EMC,36,23,0.4504830917874396
36,coex_CLT,36,27,0.07857733664185274
37,coex_core,37,28,0.26619291705498593
38,coex_WBL,33,20,1.0880217267009722
39,co-essential,12,6,2.4166666666666665
40,GOBP,24,29,0.9726613965744404
41,ppi,49,50,0.34256235827664394
42,reactome_copathway,16,21,0.5854341736694679
43,MP,17,13,1.276851851851852
44,HP,23,24,0.48872571692876954
45,GI_net,22,16,0.22313384813384785
46,gene_gene_on_CbG_name_mapped,14,23,0.1837753902971293
47,gene_gene_on_GcG_name_mapped,31,36,0.23362354892205617
48,GOMF,9,8,
