,Layer,Seizure nodes,West_syndrome nodes,sAB
0,coex_KDN,38,46,-0.18162253459736322
1,coex_BST,27,37,-0.036375661375661394
2,coex_OVR,29,38,-0.0008934803853133388
3,coex_LNG,38,38,0.08072546230440958
4,coex_ITI,34,40,-0.09835055643879165
5,coex_VGN,33,40,-0.13545558322955586
6,coex_HRV,18,23,-0.1727341286164812
7,coex_MSG,36,42,-0.03434065934065922
8,coex_ADV,30,35,-0.2525641025641028
9,coex_EMS,32,40,-0.04669442939689428
10,coex_SMU,33,39,-0.002719502719502609
11,coex_ARG,33,40,-0.06144899701237727
12,coex_TST,42,44,0.03542484647135824
13,coex_PIT,42,43,-0.03705296071917141
14,coex_LVR,30,38,-0.21831785345717236
15,coex_THY,28,37,-0.06059631059631032
16,coex_PNC,36,37,-0.09918489918489937
17,coex_ATC,34,39,-0.1612068431165934
18,coex_BRO,41,42,0.04878048780487809
19,coex_SKN,38,41,-0.026118955926401455
20,coex_ADS,25,21,-0.19055555555555515
21,coex_GEJ,33,36,-0.11125153800888055
22,coex_BRB,32,20,0.3418269230769231
23,coex_UTR,26,34,-0.31236802413273
24,coex_STM,34,39,-0.27043430649393585
25,coex_HRA,34,38,-0.11339009287925705
26,coex_PRS,29,36,-0.17583470169677096
27,coex_ATA,31,38,0.2849708422528976
28,coex_FIB,28,35,-0.08769841269841283
29,coex_BRC,43,42,0.15380756953944363
30,coex_ATT,34,38,0.17362468270548348
31,coex_TNV,23,16,0.4952968227424752
32,coex_SPL,38,43,-0.33938614567032843
33,coex_LCL,23,27,0.05867552334943649
34,coex_CLS,33,38,0.07160185996360946
35,coex_EMC,29,35,-0.0709975369458129
36,coex_CLT,34,38,-0.1277089783281733
37,coex_core,34,39,-0.11671728754726352
38,coex_WBL,29,36,-0.15156203949307412
39,co-essential,9,11,-0.33484848484848495
40,GOBP,15,22,0.5139946260635915
41,ppi,48,49,0.03235675713584385
42,reactome_copathway,20,18,0.5364191729323309
43,MP,10,5,0.5714285714285712
44,HP,35,34,-0.04917220619591123
45,GI_net,22,20,-0.293437862950058
46,gene_gene_on_CbG_name_mapped,15,12,0.38611111111111107
47,gene_gene_on_GcG_name_mapped,39,33,-0.07808857808857783
48,GOMF,3,4,
