,Layer,Retinoblastoma nodes,Glioma nodes,sAB
0,coex_KDN,46,44,-0.3064893604935186
1,coex_BST,40,39,-0.317082917082917
2,coex_OVR,38,38,-0.14523075707286237
3,coex_LNG,45,36,-0.39629629629629637
4,coex_ITI,44,40,-0.15957792207792232
5,coex_VGN,40,38,-0.25750674763832637
6,coex_HRV,18,18,-0.28781512605042003
7,coex_MSG,42,43,-0.10594423816038057
8,coex_ADV,34,28,-0.31673669467787113
9,coex_EMS,41,36,-0.2485270205643233
10,coex_SMU,41,35,-0.27243719053731863
11,coex_ARG,40,37,-0.33775447525447544
12,coex_TST,45,39,-0.19413919413919412
13,coex_PIT,42,43,-0.15369682756823644
14,coex_LVR,38,40,-0.31118421052631584
15,coex_THY,42,35,-0.21524399233377567
16,coex_PNC,40,39,-0.3232017982017985
17,coex_ATC,45,41,-0.14715447154471528
18,coex_BRO,41,39,-0.224538774233896
19,coex_SKN,42,35,-0.24415584415584424
20,coex_ADS,39,30,0.00586080586080584
21,coex_GEJ,35,35,-0.30747777371818286
22,coex_BRB,27,31,-0.10362099071776498
23,coex_UTR,36,30,-0.19671717171717185
24,coex_STM,43,35,-0.0978533094812164
25,coex_HRA,41,35,-0.29856042545387873
26,coex_PRS,38,39,-0.23121177068545484
27,coex_ATA,41,34,-0.21125272695112152
28,coex_FIB,41,37,-0.3529239766081871
29,coex_BRC,41,40,-0.15986148750376383
30,coex_ATT,41,35,-0.13153594771241828
31,coex_TNV,16,19,-0.08826754385964897
32,coex_SPL,43,32,-0.2541860465116279
33,coex_LCL,38,30,-0.21021918190702205
34,coex_CLS,38,38,-0.3226826321635261
35,coex_EMC,40,36,-0.24904761904761896
36,coex_CLT,39,37,-0.3674909727541307
37,coex_core,45,41,-0.3264259154219451
38,coex_WBL,41,38,-0.35680684421767617
39,co-essential,24,14,-0.2637987012987013
40,GOBP,12,10,-0.7678571428571423
41,ppi,50,49,-0.09186147186147187
42,reactome_copathway,34,27,-0.059879336349924595
43,MP,10,11,-0.3025252525252524
44,HP,25,20,-0.1954651162790697
45,GI_net,37,26,-0.2252633989922126
46,gene_gene_on_CbG_name_mapped,13,11,-0.41637529137529117
47,gene_gene_on_GcG_name_mapped,36,32,-0.240093954248366
48,GOMF,3,4,
