,Layer,Atherosclerosis nodes,Ascites nodes,sAB
0,coex_KDN,40,43,0.04713701877627008
1,coex_BST,22,33,0.5030921459492887
2,coex_OVR,24,28,0.4714103032517354
3,coex_LNG,30,29,0.6896551724137931
4,coex_ITI,33,35,0.25401734642296514
5,coex_VGN,27,30,0.24587912087912112
6,coex_HRV,30,23,0.6353841946951051
7,coex_MSG,40,38,0.14124493927125514
8,coex_ADV,26,28,0.7938775510204081
9,coex_EMS,22,35,0.5784215784215785
10,coex_SMU,26,25,0.3844897959183675
11,coex_ARG,25,28,0.6939610389610391
12,coex_TST,33,35,0.21009676597911886
13,coex_PIT,38,33,0.5139332706766919
14,coex_LVR,43,31,0.4118732385799153
15,coex_THY,25,32,0.8846401985111663
16,coex_PNC,27,36,0.5753512132822478
17,coex_ATC,25,37,0.28176111595466447
18,coex_BRO,30,34,0.5154648956356733
19,coex_SKN,25,33,0.47727272727272707
20,coex_ADS,29,29,1.2413793103448278
21,coex_GEJ,29,28,0.6362794612794613
22,coex_BRB,29,25,0.3469230769230771
23,coex_UTR,14,22,0.8203781512605044
24,coex_STM,33,34,0.46629153696756886
25,coex_HRA,31,29,0.7986453201970443
26,coex_PRS,24,29,0.6388266905508289
27,coex_ATA,26,32,0.5307352941176471
28,coex_FIB,18,22,0.13705738705738701
29,coex_BRC,31,29,0.41268075639599555
30,coex_ATT,27,32,0.2525000000000004
31,coex_TNV,29,24,0.9941077441077439
32,coex_SPL,24,34,0.1896535689374561
33,coex_LCL,17,25,0.04573170731707332
34,coex_CLS,32,25,1.089344151453685
35,coex_EMC,23,35,0.4782608695652173
36,coex_CLT,26,34,0.5419389978213509
37,coex_core,41,41,0.45701219512195124
38,coex_WBL,32,31,0.75
39,co-essential,10,8,0.8059640522875817
40,GOBP,14,19,0.4098208248816775
41,ppi,50,48,0.19113945578231295
42,reactome_copathway,32,15,0.7421559490525007
43,MP,12,14,-0.5058275058275057
44,HP,18,26,0.4242424242424243
45,GI_net,18,17,-0.1599264705882355
46,gene_gene_on_CbG_name_mapped,18,6,0.45833333333333326
47,gene_gene_on_GcG_name_mapped,34,33,-0.05900311277835413
48,GOMF,4,11,
