,Layer,Celiac_disease nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,30,31,0.26287492925863054
1,coex_BST,15,21,0.31008974048023275
2,coex_OVR,19,24,-0.04662698412698374
3,coex_LNG,29,25,0.4179919137466306
4,coex_ITI,29,27,0.44125159642401024
5,coex_VGN,21,28,0.37939958592132506
6,coex_HRV,16,40,0.4147727272727275
7,coex_MSG,26,44,0.46156343656343646
8,coex_ADV,14,20,0.4247899159663864
9,coex_EMS,14,34,0.4042016806722688
10,coex_SMU,17,36,0.9934640522875817
11,coex_ARG,12,21,0.6000000000000001
12,coex_TST,23,30,0.06443806398687446
13,coex_PIT,21,26,0.11004598238640773
14,coex_LVR,19,18,0.18547494863284308
15,coex_THY,21,31,0.6784572591024203
16,coex_PNC,25,16,0.5296171171171173
17,coex_ATC,22,38,0.8850877192982456
18,coex_BRO,24,27,0.18191721132897598
19,coex_SKN,21,24,0.17976190476190457
20,coex_ADS,20,21,0.625
21,coex_GEJ,17,24,0.6037151702786376
22,coex_BRB,19,21,-0.046428571428571264
23,coex_UTR,10,22,0.6596590909090909
24,coex_STM,25,29,0.4812260536398467
25,coex_HRA,18,43,0.3342037839968466
26,coex_PRS,18,43,0.12649181565168144
27,coex_ATA,26,19,0.25582546108861903
28,coex_FIB,13,17,0.32699849170437423
29,coex_BRC,20,30,0.1499999999999999
30,coex_ATT,20,29,0.608019246190858
31,coex_TNV,18,26,0.49999999999999956
32,coex_SPL,28,23,0.511078904991948
33,coex_LCL,14,24,0.2232142857142856
34,coex_CLS,17,28,0.17848982411392722
35,coex_EMC,27,19,0.7106655527708159
36,coex_CLT,21,24,0.3643939393939397
37,coex_core,34,41,1.0649210903873745
38,coex_WBL,29,34,1.331135902636917
39,co-essential,4,11,0.6106060606060613
40,GOBP,20,23,1.8613636363636363
41,ppi,50,49,0.30594104308390024
42,reactome_copathway,17,17,1.0882352941176472
43,MP,22,25,1.0637137330754354
44,HP,17,38,1.0245848578665915
45,GI_net,13,17,0.059631544925662805
46,gene_gene_on_CbG_name_mapped,8,11,0.47607655502392365
47,gene_gene_on_GcG_name_mapped,30,27,0.12670565302144254
48,GOMF,13,2,
