,Layer,Back_pain nodes,Arthralgia nodes,sAB
0,coex_KDN,45,42,0.25681444991789815
1,coex_BST,35,27,0.08904249871991787
2,coex_OVR,38,38,0.19736842105263164
3,coex_LNG,37,45,0.44147806342928275
4,coex_ITI,43,41,0.1948935275987671
5,coex_VGN,44,34,0.25
6,coex_HRV,24,35,0.5308441558441559
7,coex_MSG,40,46,0.20125126390293224
8,coex_ADV,37,39,0.8121215200162566
9,coex_EMS,37,35,0.22079700424770876
10,coex_SMU,38,31,0.22714746192268898
11,coex_ARG,38,38,0.3707159791370316
12,coex_TST,45,37,-0.17621035669816143
13,coex_PIT,42,42,0.20238095238095233
14,coex_LVR,36,45,0.303691983122363
15,coex_THY,37,36,0.17966596733720008
16,coex_PNC,41,37,0.18239440190659728
17,coex_ATC,40,42,0.3086871424269799
18,coex_BRO,40,40,0.29903846153846136
19,coex_SKN,43,35,0.25611210494931425
20,coex_ADS,35,36,0.4428743961352657
21,coex_GEJ,37,38,0.601778093883357
22,coex_BRB,31,34,0.4703471552555447
23,coex_UTR,37,26,0.3303766478342749
24,coex_STM,42,39,0.06657848324514992
25,coex_HRA,41,39,0.42236554096310197
26,coex_PRS,39,35,0.21339283869501458
27,coex_ATA,31,38,0.28777089783281706
28,coex_FIB,33,28,0.051488095238095166
29,coex_BRC,38,33,0.19666644203338035
30,coex_ATT,39,36,0.0410683760683761
31,coex_TNV,21,26,0.9342424242424241
32,coex_SPL,39,36,0.4559829059829059
33,coex_LCL,27,25,0.1404072398190046
34,coex_CLS,39,35,0.5098307098307098
35,coex_EMC,40,38,0.2545546558704457
36,coex_CLT,42,36,0.23757309941520455
37,coex_core,42,45,0.3189381499726327
38,coex_WBL,33,43,0.44614718614718596
39,co-essential,14,9,1.8095238095238098
40,GOBP,18,15,0.4156609195402301
41,ppi,50,49,0.27186971758400325
42,reactome_copathway,13,19,0.4601926977687629
43,MP,15,12,2.3699999999999997
44,HP,28,28,0.2407407407407407
45,GI_net,21,22,0.2642276422764227
46,gene_gene_on_CbG_name_mapped,5,10,0.06666666666666687
47,gene_gene_on_GcG_name_mapped,35,31,0.13886328725038388
48,GOMF,7,4,
