,Layer,Keratoconjunctivitis nodes,Macular_degeneration nodes,sAB
0,coex_KDN,39,38,0.14473684210526305
1,coex_BST,22,19,0.07752525252525277
2,coex_OVR,25,33,0.4127272727272726
3,coex_LNG,33,27,0.5072115384615383
4,coex_ITI,31,35,0.3473118279569891
5,coex_VGN,31,34,0.40884310713532734
6,coex_HRV,18,24,0.5565476190476188
7,coex_MSG,36,36,0.29166666666666696
8,coex_ADV,29,22,0.45499108734402904
9,coex_EMS,35,25,1.309162512462612
10,coex_SMU,20,27,0.32208431836091433
11,coex_ARG,23,26,0.027972027972028357
12,coex_TST,33,34,0.12076648841354709
13,coex_PIT,29,31,0.11677790137189459
14,coex_LVR,26,31,0.21156022811370878
15,coex_THY,24,28,0.7221606033717838
16,coex_PNC,25,29,0.12206896551724133
17,coex_ATC,28,29,0.12533692722371947
18,coex_BRO,27,32,-0.003943032015065739
19,coex_SKN,35,35,0.37785896967482646
20,coex_ADS,39,27,0.7554945054945059
21,coex_GEJ,36,21,2.0007936507936512
22,coex_BRB,18,29,0.2429281812994213
23,coex_UTR,30,24,0.6444444444444444
24,coex_STM,27,33,0.09527478171545978
25,coex_HRA,27,34,0.5053044375644995
26,coex_PRS,27,31,0.7222222222222223
27,coex_ATA,29,30,0.5402821316614421
28,coex_FIB,17,27,-0.07064425770308125
29,coex_BRC,24,31,0.19791779048441072
30,coex_ATT,27,30,1.0622377303411787
31,coex_TNV,19,28,0.7738095238095237
32,coex_SPL,27,33,0.009966022677887043
33,coex_LCL,13,14,0.6598494098494099
34,coex_CLS,28,33,0.6942365544060458
35,coex_EMC,27,30,0.3095441595441595
36,coex_CLT,30,35,0.4219132369299221
37,coex_core,39,37,0.6111722753755917
38,coex_WBL,32,30,0.2757392473118281
39,co-essential,9,4,0.4722222222222223
40,GOBP,21,27,0.7853603603603605
41,ppi,48,50,0.1746258503401361
42,reactome_copathway,14,10,0.1331168831168834
43,MP,16,18,1.2888888888888888
44,HP,16,30,0.7403079710144929
45,GI_net,11,10,-0.1437229437229437
46,gene_gene_on_CbG_name_mapped,12,8,-0.3374999999999999
47,gene_gene_on_GcG_name_mapped,34,36,0.09976657329598515
48,GOMF,8,5,
