,Layer,Mastocytosis nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,42,45,0.46489262371615325
1,coex_BST,22,38,0.08151059466848909
2,coex_OVR,29,41,0.19389643157515324
3,coex_LNG,33,40,0.7183893731838937
4,coex_ITI,33,47,0.25315176844432163
5,coex_VGN,33,46,0.3758734844315472
6,coex_HRV,22,20,1.4222943722943726
7,coex_MSG,33,42,0.21121212121212118
8,coex_ADV,26,38,0.6081668547156034
9,coex_EMS,35,42,0.8493031358885017
10,coex_SMU,20,41,0.3862854858056777
11,coex_ARG,27,45,0.2582641146021427
12,coex_TST,31,49,0.237450625411455
13,coex_PIT,29,41,0.21755376667067172
14,coex_LVR,27,41,0.08098198629045128
15,coex_THY,22,33,1.1393939393939396
16,coex_PNC,23,42,0.23464458247066977
17,coex_ATC,32,43,0.46051356589147296
18,coex_BRO,32,43,0.32360303617571073
19,coex_SKN,33,42,0.6907359307359309
20,coex_ADS,30,24,1.54
21,coex_GEJ,33,44,0.9945622154924483
22,coex_BRB,25,19,0.2311507936507935
23,coex_UTR,24,36,0.2663398692810457
24,coex_STM,29,45,0.25624935280107675
25,coex_HRA,21,43,0.2514027316352898
26,coex_PRS,26,39,0.36282051282051286
27,coex_ATA,28,34,0.6477272727272725
28,coex_FIB,16,38,0.20291179337231968
29,coex_BRC,23,42,0.18568243350852054
30,coex_ATT,29,40,1.0128685657171412
31,coex_TNV,24,11,1.167424242424242
32,coex_SPL,27,41,0.040583984271215234
33,coex_LCL,20,38,-0.03361782835467064
34,coex_CLS,29,45,0.2780055917986952
35,coex_EMC,28,38,0.2717340225563909
36,coex_CLT,35,47,0.2604402655217757
37,coex_core,36,46,0.7494697773064689
38,coex_WBL,32,41,0.41561038255930516
39,co-essential,8,14,1.791751012145749
40,GOBP,13,18,0.7679487179487179
41,ppi,48,50,0.194294217687075
42,reactome_copathway,20,12,0.712774294670846
43,MP,9,16,1.9929824561403509
44,HP,18,33,0.7142008318478907
45,GI_net,22,25,0.04748549323017359
46,gene_gene_on_CbG_name_mapped,14,11,0.2706493506493506
47,gene_gene_on_GcG_name_mapped,26,32,0.02034980106100792
48,GOMF,6,6,
